,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,,Navigate
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments,#SPILL!
CIMS.CAN.BC.Coal Mining.Coal.Raw Product.Extraction,Service,BC,Coal Mining,Extraction,Extraction of coal,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Raw Product.Extraction,Service,BC,Coal Mining,Extraction,Extraction of coal biodiesel,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Raw Product.Extraction,Service,BC,Coal Mining,Extraction,Extraction of coal electric,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Raw Product.Transportation,Service,BC,Coal Mining,Transportation,Conveyance,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Raw Product.Transportation,Service,BC,Coal Mining,Transportation,Diesel truck,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Raw Product.Transportation,Service,BC,Coal Mining,Transportation,Biodiesel truck,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Raw Product.Mine Ventilation,Service,BC,Coal Mining,Mine Ventilation,Mine ventilation,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Size Reduced Product.Primary Crushing,Service,BC,Coal Mining,Primary Crushing,Primary Crushing,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Size Reduced Product.Primary Milling,Service,BC,Coal Mining,Primary Milling,Primary Grinding,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Size Reduced Product.Secondary Milling,Service,BC,Coal Mining,Secondary Milling,Secondary Grinding,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Final Product.Washing,Service,BC,Coal Mining,Washing,Wash Mill,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Coal.Final Product.Cleaning,Service,BC,Coal Mining,Cleaning,Spray Drying and Cleaning,FIC,,,,,$,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,,
CIMS.CAN.BC.Coal Mining.Coal.Final Product.Cleaning,Service,BC,Coal Mining,Cleaning,Rotary Drying and Cleaning,FIC,,,,,$,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,,
CIMS.CAN.BC.Coal Mining.Coal.Final Product.Cleaning,Service,BC,Coal Mining,Cleaning,Fluidized Bed Drying and Cleaning,FIC,,,,,$,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,,
CIMS.CAN.BC.Coal Mining.Coal.Final Product.Cleaning,Service,BC,Coal Mining,Cleaning,Rotary Drying and Cleaning Electric,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
