,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,,Navigate
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments,#SPILL!
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Propane fired,Technology,,,,,,,,,,,,,,,,,,CIMS.CAN.BC.Petroleum Crude.Industrial Engines.SmallBCSmallPropane firedTechnology
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Propane fired,Available,,,,,Year,2000,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,,CIMS.CAN.BC.Petroleum Crude.Industrial Engines.SmallBCSmallPropane firedAvailable
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Propane fired,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,,CIMS.CAN.BC.Petroleum Crude.Industrial Engines.SmallBCSmallPropane firedUnavailable
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Propane fired,Lifetime,,,,,Years,20,20,20,20,20,20,20,20,20,20,20,,CIMS.CAN.BC.Petroleum Crude.Industrial Engines.SmallBCSmallPropane firedLifetime
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Propane fired,Market share,,,,BC_Oil&Coal_Calibration_09.11.24.xlsb,%,45%,,,,,,,,,,,,CIMS.CAN.BC.Petroleum Crude.Industrial Engines.SmallBCSmallPropane firedMarket share
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Propane fired,Output,,,,,GJ,1,1,1,1,1,1,1,1,1,1,1,,CIMS.CAN.BC.Petroleum Crude.Industrial Engines.SmallBCSmallPropane firedOutput
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Propane fired,FCC,,,,,$,112,112,112,112,112,112,112,112,112,112,112,,CIMS.CAN.BC.Petroleum Crude.Industrial Engines.SmallBCSmallPropane firedFCC
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Propane fired,FOM,,,,,$,4,4,4,4,4,4,4,4,4,4,4,,CIMS.CAN.BC.Petroleum Crude.Industrial Engines.SmallBCSmallPropane firedFOM
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Large,Service,BC,Petroleum Crude,Large,Propane fired,Technology,,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Large,Service,BC,Petroleum Crude,Large,Propane fired,Available,,,,,Year,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Large,Service,BC,Petroleum Crude,Large,Propane fired,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Large,Service,BC,Petroleum Crude,Large,Propane fired,Lifetime,,,,,Years,20,20,20,20,20,20,20,20,20,20,20,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Large,Service,BC,Petroleum Crude,Large,Propane fired,Market share,,,,BC_Oil&Coal_Calibration_09.11.24.xlsb,%,50%,,,,,,,,,,,,
