,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC.Transportation Personal.Mode.Urban,Service,BC,Transportation Personal,Urban,Walk Cycle Urban,FIC,,,,,$,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,
CIMS.CAN.BC.Transportation Personal.Mode.Urban,Service,BC,Transportation Personal,Urban,Passenger Vehicle Urban 3 Passenger,FIC,,,,,$,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,
CIMS.CAN.BC.Transportation Personal.Mode.Urban,Service,BC,Transportation Personal,Urban,Public Transit Urban,FIC,,,,,$,20700000,20700000,20700000,20700000,20700000,20700000,20700000,20700000,20700000,20700000,20700000,
CIMS.CAN.BC.Transportation Personal.Mode.Intercity Land,Service,BC,Transportation Personal,Intercity Land,Bus Intercity,FIC,,,,,$,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
CIMS.CAN.BC.Transportation Personal.Mode.Intercity Land,Service,BC,Transportation Personal,Intercity Land,Rail Intercity,FIC,,,,,$,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,
CIMS.CAN.BC.Transportation Personal.Passenger Vehicles,Service,BC,Transportation Personal,Passenger Vehicles,Car_small,FIC,,,,,$,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,
CIMS.CAN.BC.Transportation Personal.Passenger Vehicles,Service,BC,Transportation Personal,Passenger Vehicles,Car_large,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Transportation Personal.Passenger Vehicles,Service,BC,Transportation Personal,Passenger Vehicles,Light Truck_small,FIC,,,,,$,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,
CIMS.CAN.BC.Transportation Personal.Passenger Vehicles,Service,BC,Transportation Personal,Passenger Vehicles,Light Truck_large,FIC,,,,,$,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,
CIMS.CAN.BC.Transportation Personal.Passenger Vehicle Motors,Service,BC,Transportation Personal,Passenger Vehicle Motors,Gasoline Efficient,FIC,,,,,$,300,300,300,300,300,300,300,300,300,300,300,
CIMS.CAN.BC.Transportation Personal.Passenger Vehicle Motors,Service,BC,Transportation Personal,Passenger Vehicle Motors,Hybrid,FIC,,,,,$,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,
CIMS.CAN.BC.Transportation Personal.Passenger Vehicle Motors,Service,BC,Transportation Personal,Passenger Vehicle Motors,Plug-in Hybrid,FIC,,,,,$,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,
CIMS.CAN.BC.Transportation Personal.Passenger Vehicle Motors,Service,BC,Transportation Personal,Passenger Vehicle Motors,BEV 500,FIC,,,,,$,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,
CIMS.CAN.BC.Transportation Personal.Passenger Vehicle Motors,Service,BC,Transportation Personal,Passenger Vehicle Motors,BEV 800,FIC,,,,,$,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,
CIMS.CAN.BC.Transportation Personal.Passenger Vehicle Motors,Service,BC,Transportation Personal,Passenger Vehicle Motors,Fuel Cell 650,FIC,,,,,$,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,
CIMS.CAN.BC.Transportation Personal.Transit.Public Bus,Service,BC,Transportation Personal,Public Bus,Bus Urban Hybrid,FIC,,,,,$,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,
CIMS.CAN.BC.Transportation Personal.Transit.Public Bus,Service,BC,Transportation Personal,Public Bus,Bus Urban NG,FIC,,,,,$,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,
CIMS.CAN.BC.Transportation Personal.Transit.Public Bus,Service,BC,Transportation Personal,Public Bus,Bus Urban Electric,FIC,,,,,$,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,
CIMS.CAN.BC.Transportation Personal.Transit.Public Bus,Service,BC,Transportation Personal,Public Bus,Ferry Urban,FIC,,,,,$,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,
CIMS.CAN.BC.Transportation Personal.Intercity Bus,Service,BC,Transportation Personal,Intercity Bus,Bus Intercity Gasoline,FIC,,,,,$,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,
CIMS.CAN.BC.Transportation Personal.Intercity Bus,Service,BC,Transportation Personal,Intercity Bus,Bus Intercity Hybrid,FIC,,,,,$,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,
CIMS.CAN.BC.Transportation Personal.Intercity Bus,Service,BC,Transportation Personal,Intercity Bus,Bus Intercity NG,FIC,,,,,$,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,
