,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,AT,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,DIC_initial,,,,,$,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,
CIMS.CAN.AT.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,AT,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.AT.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,AT,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.AT.Petroleum Refining.Still Gas.Steam,Service,AT,Petroleum Refining,Steam,Still Gas fired Eff CCS,DIC_initial,,,,,$,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,
CIMS.CAN.AT.Petroleum Refining.Still Gas.Steam,Service,AT,Petroleum Refining,Steam,Still Gas fired Eff CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.AT.Petroleum Refining.Still Gas.Steam,Service,AT,Petroleum Refining,Steam,Still Gas fired Eff CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.AT.Petroleum Refining.Still Gas.Steam,Service,AT,Petroleum Refining,Steam,Still Gas fired CCS,DIC_initial,,,,,$,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,
CIMS.CAN.AT.Petroleum Refining.Still Gas.Steam,Service,AT,Petroleum Refining,Steam,Still Gas fired CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.AT.Petroleum Refining.Still Gas.Steam,Service,AT,Petroleum Refining,Steam,Still Gas fired CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
