,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,QC,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,DIC_initial,,,,,$,48867562.38,48867562.38,48867562.38,48867562.38,48867562.38,48867562.38,48867562.38,48867562.38,48867562.38,48867562.38,48867562.38,
CIMS.CAN.QC.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,QC,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.QC.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,QC,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam.Boilers,Service,QC,Petroleum Refining,Boilers,Still Gas fired Eff CCS,DIC_initial,,,,,$,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam.Boilers,Service,QC,Petroleum Refining,Boilers,Still Gas fired Eff CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam.Boilers,Service,QC,Petroleum Refining,Boilers,Still Gas fired Eff CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam.Cogenerators,Service,QC,Petroleum Refining,Cogenerators,Still Gas fired CCS,DIC_initial,,,,,$,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,7330134.357,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam.Cogenerators,Service,QC,Petroleum Refining,Cogenerators,Still Gas fired CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam.Cogenerators,Service,QC,Petroleum Refining,Cogenerators,Still Gas fired CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
