,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Processing.Processing Plants,Service,ON,Natural Gas Production,Processing Plants,Processing,FIC,,,,,$,150,150,150,150,150,150,150,150,150,150,150,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Transmission,Service,ON,Natural Gas Production,Transmission,Transmission HFO,FIC,,,,,$,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Direct Drive Small,Service,ON,Natural Gas Production,Direct Drive Small,Reciprocating compressor lean burn retro,FIC,,,,,$,160,160,160,160,160,160,160,160,160,160,160,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Direct Drive Small,Service,ON,Natural Gas Production,Direct Drive Small,Reciprocating compressor lean burn retro NG,FIC,,,,,$,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Direct Drive Small,Service,ON,Natural Gas Production,Direct Drive Small,Reciprocating compressor electric,FIC,,,,,$,80,80,80,80,80,80,80,80,80,80,80,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Direct Drive Large,Service,ON,Natural Gas Production,Direct Drive Large,Natural Gas turbine Eff 2010,FIC,,,,,$,50,50,50,50,50,50,50,50,50,50,50,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Direct Drive Large,Service,ON,Natural Gas Production,Direct Drive Large,Std AC motor 500 hp,FIC,,,,,$,150,150,150,150,150,150,150,150,150,150,150,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Direct Drive Large,Service,ON,Natural Gas Production,Direct Drive Large,Eff AC motor 500 hp,FIC,,,,,$,100,100,100,100,100,100,100,100,100,100,100,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Flaring,Service,ON,Natural Gas Production,Flaring,No CCS,FIC,,,,,$,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Venting.Point Venting,Service,ON,Natural Gas Production,Point Venting,VRU,FIC,,,,,$,500,500,500,500,500,500,500,500,500,500,500,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Venting.Point Venting,Service,ON,Natural Gas Production,Point Venting,Flare Install,FIC,,,,,$,500,500,500,500,500,500,500,500,500,500,500,
CIMS.CAN.ON.Natural Gas Production.OG Liquid Fuel Blend.Gasoline Blend,Service,ON,Natural Gas Production,Gasoline Blend,Ethanol,FIC,,,,,$,100,100,100,100,100,100,100,100,100,100,100,
CIMS.CAN.ON.Natural Gas Production.Natural Gas Supply.Extraction.Off road transport,Service,ON,Natural Gas Production,Off road transport,Extraction Off road transport Eff,FIC,,,,,$,120,120,120,120,120,120,120,120,120,120,120,
CIMS.CAN.ON.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,ON,Petroleum Crude,Onshore,Onshore,FIC,,,,,$,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
CIMS.CAN.ON.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,ON,Petroleum Crude,Onshore,Onshore ELDAR EM EE,FIC,,,,,$,100,100,100,100,100,100,100,100,100,100,100,
CIMS.CAN.ON.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,ON,Petroleum Crude,Onshore,Onshore Energy Eff Measures,FIC,,,,,$,100,100,100,100,100,100,100,100,100,100,100,
CIMS.CAN.ON.Petroleum Crude.Industrial Engines.Small,Service,ON,Petroleum Crude,Small,Gasoline fired,FIC,,,,,$,12,12,12,12,12,12,12,12,12,12,12,
CIMS.CAN.ON.Petroleum Crude.Industrial Engines.Small,Service,ON,Petroleum Crude,Small,Diesel fired,FIC,,,,,$,14,14,14,14,14,14,14,14,14,14,14,
CIMS.CAN.ON.Petroleum Crude.Industrial Engines.Small,Service,ON,Petroleum Crude,Small,Biodiesel fired,FIC,,,,,$,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.ON.Petroleum Crude.Industrial Engines.Small,Service,ON,Petroleum Crude,Small,Propane fired,FIC,,,,,$,8,8,8,8,8,8,8,8,8,8,8,
CIMS.CAN.ON.Petroleum Crude.Industrial Engines.Large,Service,ON,Petroleum Crude,Large,Gasoline fired,FIC,,,,,$,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.ON.Petroleum Crude.Industrial Engines.Large,Service,ON,Petroleum Crude,Large,Diesel fired,FIC,,,,,$,14,14,14,14,14,14,14,14,14,14,14,
CIMS.CAN.ON.Petroleum Crude.Industrial Engines.Large,Service,ON,Petroleum Crude,Large,Biodiesel fired,FIC,,,,,$,28,28,28,28,28,28,28,28,28,28,28,
CIMS.CAN.ON.Petroleum Crude.Industrial Engines.Large,Service,ON,Petroleum Crude,Large,Propane fired,FIC,,,,,$,9,9,9,9,9,9,9,9,9,9,9,
CIMS.CAN.ON.Petroleum Crude.Steam,Service,ON,Petroleum Crude,Steam,Electric,FIC,,,,,$,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,
