,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC.Natural Gas Extraction.Natural Gas.Exploration and Production.Conventional Production,Service,QC,Natural Gas Extraction,Conventional Production,Raw NG Eff,FIC,,,,,$,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,
CIMS.CAN.QC.Natural Gas Extraction.Natural Gas.Exploration and Production.Conventional Production,Service,QC,Natural Gas Extraction,Conventional Production,Raw NG basic LDAR,FIC,,,,,$,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,
CIMS.CAN.QC.Natural Gas Extraction.Natural Gas.Exploration and Production.Conventional Production,Service,QC,Natural Gas Extraction,Conventional Production,Raw NG aggresive LDAR,FIC,,,,,$,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,
CIMS.CAN.QC.Natural Gas Extraction.Direct Heat,Service,QC,Natural Gas Extraction,Direct Heat,Boilers improved thermal eff,FIC,,,,,$,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,
CIMS.CAN.QC.Natural Gas Extraction.Direct Heat,Service,QC,Natural Gas Extraction,Direct Heat,Boilers improved thermal eff CCS,FIC,,,,,$,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,
CIMS.CAN.QC.Natural Gas Extraction.Direct Drive Small,Service,QC,Natural Gas Extraction,Direct Drive Small,Reciprocating compressor lean burn retro,FIC,,,,,$,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,
CIMS.CAN.QC.Mining.Steam.Boilers,Service,QC,Mining,Boilers,Hydrogen HR and reg burner,FIC,,,,,$,15668162.19,15668162.19,15668162.19,15668162.19,15668162.19,15668162.19,15668162.19,15668162.19,15668162.19,15668162.19,15668162.19,
CIMS.CAN.QC.Mining.Lighting,Service,QC,Mining,Lighting,Most Eff Lighting,FIC,,,,,$,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,
CIMS.CAN.QC.Electricity.Utility Generation.Base Load,Service,QC,Electricity,Base Load,Biomass CCS,FIC,,,,,$,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,
CIMS.CAN.QC.Electricity.Utility Generation.Shoulder Load,Service,QC,Electricity,Shoulder Load,Biomass CCS,FIC,,,,,$,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,
CIMS.CAN.QC.Electricity.Utility Generation.Base Load,Service,QC,Electricity,Base Load,Nuclear,FIC,,,,,$,-1100000000,-1100000000,-1100000000,0,0,0,0,0,0,0,0,
CIMS.CAN.QC.Electricity.Utility Generation.Base Load,Service,QC,Electricity,Base Load,Hydro Reservoir,FIC,,,,,$,-1800000000,-1800000000,-1800000000,-1800000000,-1800000000,-1800000000,-1800000000,-1800000000,-1800000000,-1800000000,-1800000000,
CIMS.CAN.QC.Electricity.Utility Generation.Base Load,Service,QC,Electricity,Base Load,Solar PV,FIC,,,,,$,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,
CIMS.CAN.QC.Electricity.Utility Generation.Base Load,Service,QC,Electricity,Base Load,Wind Onshore,FIC,,,,,$,30000000,30000000,2000000,-2000000,-4000000,-4000000,-4000000,-4000000,-4000000,-4000000,-4000000,
CIMS.CAN.QC.Electricity.Utility Generation.Base Load,Service,QC,Electricity,Base Load,Natural Gas SC,FIC,,,,,$,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,
