,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS,Root,CIMS,,,,service_provide,,,,,unit,,,,,,,,,,,,
CIMS,Root,CIMS,,,,competition,Root,,,,,,,,,,,,,,,,
CIMS,Root,CIMS,,,,currency,,,,n/a,CAD,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,
CIMS,Root,CIMS,,,,emissions_gwp,CH4,,,IPCC AR5,tCO2e/tGHG,28,28,28,28,28,28,28,28,28,28,28,
CIMS,Root,CIMS,,,,emissions_gwp,N2O,,,IPCC AR5,tCO2e/tGHG,265,265,265,265,265,265,265,265,265,265,265,
CIMS,Root,CIMS,,,,emissions_gwp,SF6,,,IPCC AR5,tCO2e/tGHG,23500,23500,23500,23500,23500,23500,23500,23500,23500,23500,23500,
CIMS,Root,CIMS,,,,tax_foresight,Cement,,,,,Myopic,Myopic,Myopic,Myopic,Myopic,Myopic,Myopic,Myopic,Myopic,Myopic,Myopic,
CIMS,Root,CIMS,,,,retrofit_heterogeneity,,,,,,30,30,30,30,30,30,30,30,30,30,30,
CIMS,Root,CIMS,,,,retrofit_existing_max,,,,,%,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
CIMS,Root,CIMS,,,,service_request,,,CIMS.CAN,n/a,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS,Root,CIMS,,,,service_request,,,CIMS.RoW,n/a,unit,1,1,1,1,1,1,1,1,1,1,1,
