,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK.Coal Mining.Lighting,Service,SK,Coal Mining,Lighting,Most Eff Lighting,FIC,,,,,$,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,855.1823417,
CIMS.CAN.SK.Natural Gas Extraction.Natural Gas.Exploration and Production.Conventional Production,Service,SK,Natural Gas Extraction,Conventional Production,Raw NG Eff,FIC,,,,,$,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,6.108445298,
CIMS.CAN.SK.Natural Gas Extraction.Natural Gas.Exploration and Production.Conventional Production,Service,SK,Natural Gas Extraction,Conventional Production,Raw NG Eff and aggresive LDAR,FIC,,,,,$,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,7.330134357,
CIMS.CAN.SK.Natural Gas Extraction.Natural Gas.Exploration and Production.Conventional Production,Service,SK,Natural Gas Extraction,Conventional Production,Raw NG aggresive LDAR,FIC,,,,,$,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,8.551823417,
CIMS.CAN.SK.Natural Gas Extraction.Natural Gas.Processing.Processing Plants,Service,SK,Natural Gas Extraction,Processing Plants,NG aggressive LDAR program,FIC,,,,,$,17.10364683,17.10364683,17.10364683,17.10364683,17.10364683,17.10364683,17.10364683,17.10364683,17.10364683,17.10364683,17.10364683,
CIMS.CAN.SK.Natural Gas Extraction.Natural Gas.Processing.Processing Plants,Service,SK,Natural Gas Extraction,Processing Plants,NG Eff,FIC,,,,,$,20.76871401,20.76871401,20.76871401,20.76871401,20.76871401,20.76871401,20.76871401,20.76871401,20.76871401,20.76871401,20.76871401,
CIMS.CAN.SK.Natural Gas Extraction.Direct Heat,Service,SK,Natural Gas Extraction,Direct Heat,Boilers improved thermal eff,FIC,,,,,$,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,
CIMS.CAN.SK.Natural Gas Extraction.Direct Heat,Service,SK,Natural Gas Extraction,Direct Heat,Boilers improved thermal eff CCS,FIC,,,,,$,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,
CIMS.CAN.SK.Natural Gas Extraction.Direct Drive Small,Service,SK,Natural Gas Extraction,Direct Drive Small,Reciprocating compressor lean burn retro,FIC,,,,,$,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,4.886756238,
CIMS.CAN.SK.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,SK,Petroleum Crude,Onshore,Onshore Leak Detection,FIC,,,,,$,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,
CIMS.CAN.SK.Petroleum Crude.Refinable Crude Oil.Heavy,Service,SK,Petroleum Crude,Heavy,Cold Bitumen Leak Detection,FIC,,,,,$,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,61.08445298,
CIMS.CAN.SK.Petroleum Crude.Steam.Boilers,Service,SK,Petroleum Crude,Boilers,Petcoke CCS,DIC_initial,,,,,$,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,
CIMS.CAN.SK.Petroleum Crude.Steam.Boilers,Service,SK,Petroleum Crude,Boilers,Petcoke CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.SK.Petroleum Crude.Steam.Boilers,Service,SK,Petroleum Crude,Boilers,Petcoke CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.SK.Petroleum Crude.Steam.Boilers,Service,SK,Petroleum Crude,Boilers,NG CCS,DIC_initial,,,,,$,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,
CIMS.CAN.SK.Petroleum Crude.Steam.Boilers,Service,SK,Petroleum Crude,Boilers,NG CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.SK.Petroleum Crude.Steam.Boilers,Service,SK,Petroleum Crude,Boilers,NG CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.SK.Petroleum Crude.Steam.Cogenerators,Service,SK,Petroleum Crude,Cogenerators,BPST NG 30 MW CCS,DIC_initial,,,,,$,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,6108445.298,
CIMS.CAN.SK.Petroleum Crude.Steam.Cogenerators,Service,SK,Petroleum Crude,Cogenerators,BPST NG 30 MW CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
