,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON.Natural Gas Extraction.Natural Gas.Exploration and Production.Conventional Production,Service,ON,Natural Gas Extraction,Conventional Production,Raw NG Eff,FIC,,,,,$,7.33013435700575,=M3,=N3,=O3,=P3,=Q3,=R3,=S3,=T3,=U3,=V3,
CIMS.CAN.ON.Natural Gas Extraction.Natural Gas.Exploration and Production.Conventional Production,Service,ON,Natural Gas Extraction,Conventional Production,Raw NG Eff and High LDAR,FIC,,,,,$,8.55182341650672,=M4,=N4,=O4,=P4,=Q4,=R4,=S4,=T4,=U4,=V4,
CIMS.CAN.ON.Natural Gas Extraction.Natural Gas.Processing.Processing Plants,Service,ON,Natural Gas Extraction,Processing Plants,NG aggressive LDAR program,FIC,,,,,$,17.1036468330134,=M5,=N5,=O5,=P5,=Q5,=R5,=S5,=T5,=U5,=V5,
CIMS.CAN.ON.Natural Gas Extraction.Natural Gas.Processing.Processing Plants,Service,ON,Natural Gas Extraction,Processing Plants,NG Eff,FIC,,,,,$,20.7687140115163,=M6,=N6,=O6,=P6,=Q6,=R6,=S6,=T6,=U6,=V6,
CIMS.CAN.ON.Natural Gas Extraction.Direct Heat,Service,ON,Natural Gas Extraction,Direct Heat,Boilers improved thermal eff,FIC,,,,,$,4.88675623800384,=M7,=N7,=O7,=P7,=Q7,=R7,=S7,=T7,=U7,=V7,
CIMS.CAN.ON.Natural Gas Extraction.Direct Heat,Service,ON,Natural Gas Extraction,Direct Heat,Boilers improved thermal eff CCS,FIC,,,,,$,4.88675623800384,=M8,=N8,=O8,=P8,=Q8,=R8,=S8,=T8,=U8,=V8,
CIMS.CAN.ON.Natural Gas Extraction.Direct Drive Small,Service,ON,Natural Gas Extraction,Direct Drive Small,Reciprocating compressor lean burn retro,FIC,,,,,$,4.88675623800384,=M9,=N9,=O9,=P9,=Q9,=R9,=S9,=T9,=U9,=V9,
CIMS.CAN.ON.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,ON,Petroleum Crude,Onshore,Onshore Leak Detection,FIC,,,,,$,61.0844529750479,=M10,=N10,=O10,=P10,=Q10,=R10,=S10,=T10,=U10,=V10,
CIMS.CAN.ON.Petroleum Crude.Steam,Service,ON,Petroleum Crude,Steam,Electric,DIC_initial,,,,,$,8551823.41650671,=M11,=N11,=O11,=P11,=Q11,=R11,=S11,=T11,=U11,=V11,
CIMS.CAN.ON.Petroleum Crude.Steam,Service,ON,Petroleum Crude,Steam,Electric,DIC_rate,,,,,,20,=M12,=N12,=O12,=P12,=Q12,=R12,=S12,=T12,=U12,=V12,
CIMS.CAN.ON.Petroleum Crude.Steam,Service,ON,Petroleum Crude,Steam,Electric,DIC_shape,,,,,,0.003,=M13,=N13,=O13,=P13,=Q13,=R13,=S13,=T13,=U13,=V13,
CIMS.CAN.ON.Petroleum Crude.Steam,Service,ON,Petroleum Crude,Steam,SCGT HRSG 40 MW High H:P ratio,FIC,,,,,$,-36650671.7850288,=M14,=N14,=O14,=P14,=Q14,=R14,=S14,=T14,=U14,=V14,
CIMS.CAN.ON.Mining.Steam,Service,ON,Mining,Steam,Hydrogen HR and reg burner,FIC,,,,,$,15668162.1880998,=M15,=N15,=O15,=P15,=Q15,=R15,=S15,=T15,=U15,=V15,
CIMS.CAN.ON.Mining.Lighting,Service,ON,Mining,Lighting,Most Eff Lighting,FIC,,,,,$,855.182341650672,=M16,=N16,=O16,=P16,=Q16,=R16,=S16,=T16,=U16,=V16,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Biomass CCS,FIC,,,,,$,=[CIMS_calibration_FIC_DIC.xlsb]BC!$M$29,=M17,=N17,=O17,=P17,=Q17,=R17,=S17,=T17,=U17,=V17,
CIMS.CAN.ON.Electricity.Utility Generation.Shoulder Load,Service,ON,Electricity,Shoulder Load,Biomass CCS,FIC,,,,,$,=[CIMS_calibration_FIC_DIC.xlsb]BC!$M$30,=M18,=N18,=O18,=P18,=Q18,=R18,=S18,=T18,=U18,=V18,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Natural Gas CC,FIC,,,,,$,100000000,=M19,=N19,=O19,=P19,=Q19,=R19,=S19,=T19,=U19,=V19,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Natural Gas CC CCS,FIC,,,,,$,=M19*1.5,=M20,=N20,=O20,=P20,=Q20,=R20,=S20,=T20,=U20,=V20,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Nuclear,FIC,,,,,$,-1000000000,-1300000000,-1700000000,-1300000000,=P21,=Q21,=R21,=S21,=T21,=U21,=V21,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Hydro Reservoir,FIC,,,,,$,-700000000,=M22,=N22,=O22,=P22,=Q22,=R22,=S22,=T22,=U22,=V22,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Solar PV,FIC,,,,,$,-7000000,=M23,=N23,=O23,=P23,=Q23,=R23,=S23,=T23,=U23,=V23,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Wind Onshore,FIC,,,,,$,0,=M24,4000000,=O24,=P24,=Q24,=R24,=S24,=T24,=U24,=V24,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,ON,Petroleum Refining,Isomerization,Isomerization tower,FIC,,,,,$,39692.6775431861,=M25,=N25,=O25,=P25,=Q25,=R25,=S25,=T25,=U25,=V25,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,ON,Petroleum Refining,Isomerization,Eff isomerization tower,FIC,,,,,$,28968.6909788867,=M26,=N26,=O26,=P26,=Q26,=R26,=S26,=T26,=U26,=V26,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,ON,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,FIC,,,,,$,200552.476007677,=M27,=N27,=O27,=P27,=Q27,=R27,=S27,=T27,=U27,=V27,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,ON,Petroleum Refining,Alkylation,Eff hydrofluoric acid alkylation tower,FIC,,,,,$,183839.769673704,=M28,=N28,=O28,=P28,=Q28,=R28,=S28,=T28,=U28,=V28,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,ON,Petroleum Refining,Alkylation,Sulphuric acid alkylation tower,FIC,,,,,$,4664934.15547025,=M29,=N29,=O29,=P29,=Q29,=R29,=S29,=T29,=U29,=V29,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,ON,Petroleum Refining,Alkylation,Sulphuric acid alkylation tower Eff,FIC,,,,,$,3139203.33973128,=M30,=N30,=O30,=P30,=Q30,=R30,=S30,=T30,=U30,=V30,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Hydrotreating.Desulphurization,Service,ON,Petroleum Refining,Desulphurization,low sulphur gas oil Eff unit,FIC,,,,,$,4330343.56340691,=M31,=N31,=O31,=P31,=Q31,=R31,=S31,=T31,=U31,=V31,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Hydrotreating.Desulphurization,Service,ON,Petroleum Refining,Desulphurization,high sulphur gas oil,FIC,,,,,$,3829262.1880998,=M32,=N32,=O32,=P32,=Q32,=R32,=S32,=T32,=U32,=V32,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Hydrotreating.Desulphurization,Service,ON,Petroleum Refining,Desulphurization,low sulphur distillates Eff unit,FIC,,,,,$,5514048.47751439,=M33,=N33,=O33,=P33,=Q33,=R33,=S33,=T33,=U33,=V33,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Hydrotreating.Desulphurization,Service,ON,Petroleum Refining,Desulphurization,low sulphur naphtha Eff unit,FIC,,,,,$,6775684.03267754,=M34,=N34,=O34,=P34,=Q34,=R34,=S34,=T34,=U34,=V34,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Hydrotreating.Desulphurization,Service,ON,Petroleum Refining,Desulphurization,high sulphur distillates,FIC,,,,,$,4773730.81948176,=M35,=N35,=O35,=P35,=Q35,=R35,=S35,=T35,=U35,=V35,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Hydrotreating.Desulphurization,Service,ON,Petroleum Refining,Desulphurization,high sulphur naphtha,FIC,,,,,$,5532946.88331094,=M36,=N36,=O36,=P36,=Q36,=R36,=S36,=T36,=U36,=V36,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Distillation.Atmospheric,Service,ON,Petroleum Refining,Atmospheric,low API crude,FIC,,,,,$,7107078.36852207,=M37,=N37,=O37,=P37,=Q37,=R37,=S37,=T37,=U37,=V37,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Distillation.Atmospheric,Service,ON,Petroleum Refining,Atmospheric,lower grade crude,FIC,,,,,$,3534737.38963531,=M38,=N38,=O38,=P38,=Q38,=R38,=S38,=T38,=U38,=V38,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Distillation.Atmospheric,Service,ON,Petroleum Refining,Atmospheric,low API crude high Eff,FIC,,,,,$,7073235.13819577,=M39,=N39,=O39,=P39,=Q39,=R39,=S39,=T39,=U39,=V39,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Distillation.Atmospheric,Service,ON,Petroleum Refining,Atmospheric,lower grade crude high Eff,FIC,,,,,$,3557299.54318618,=M40,=N40,=O40,=P40,=Q40,=R40,=S40,=T40,=U40,=V40,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Distillation.Vacuum,Service,ON,Petroleum Refining,Vacuum,Std vacuum distillation,FIC,,,,,$,307095.978886756,=M41,=N41,=O41,=P41,=Q41,=R41,=S41,=T41,=U41,=V41,
CIMS.CAN.ON.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Distillation.Vacuum,Service,ON,Petroleum Refining,Vacuum,Eff vacuum distillation,FIC,,,,,$,319038.600287907,=M42,=N42,=O42,=P42,=Q42,=R42,=S42,=T42,=U42,=V42,
