,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC.Coal Mining.Coal.Raw Product.Transportation,Service,BC,Coal Mining,Transportation,Conveyance,Market share new_max,,,,,%,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
CIMS.CAN.BC.Coal Mining.Ventilation,Service,BC,Coal Mining,Ventilation,High Eff backward inclined fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.BC.Coal Mining.Ventilation,Service,BC,Coal Mining,Ventilation,High Eff airfoil fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.BC.Coal Mining.Ventilation,Service,BC,Coal Mining,Ventilation,High Eff vane axial tube axial fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.BC.Coal Mining.Conveyance,Service,BC,Coal Mining,Conveyance,High Eff belt conveyor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.BC.Coal Mining.Conveyance,Service,BC,Coal Mining,Conveyance,High Eff screw conveyor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.BC.Coal Mining.Compression.Small,Service,BC,Coal Mining,Small,High Eff centrifugal compressor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.BC.Coal Mining.Compression.Small,Service,BC,Coal Mining,Small,High Eff reciprocating compressor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.BC.Coal Mining.Compression.Small,Service,BC,Coal Mining,Small,High Eff rotary compressor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.BC.Coal Mining.Compression.Large,Service,BC,Coal Mining,Large,High Eff centrifugal compressor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
