,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB.Natural Gas Production,Sector,AB,,Natural Gas Production,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Petroleum Crude,Sector,AB,,Petroleum Crude,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Coal Mining,Sector,AB,,Coal Mining,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Electricity,Sector,AB,,Electricity,,Price multiplier,,,CIMS.CAN.AB.Electricity,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Ethanol,Sector,AB,,Ethanol,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Biodiesel,Sector,AB,,Biodiesel,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Hydrogen,Sector,AB,,Hydrogen,,Price multiplier,,,CIMS.CAN.AB.Electricity,Petroleum Refining,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,Use petroleum refining sector as proxy
CIMS.CAN.AB.Petroleum Refining,Sector,AB,,Petroleum Refining,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Industrial Minerals,Sector,AB,,Industrial Minerals,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Chemical Products,Sector,AB,,Chemical Products,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,,Pulp and Paper,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Light Industrial,Sector,AB,,Light Industrial,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Residential,Sector,AB,,Residential,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,30.2433596510125,30.2433596510125,32.9242347972992,35.4620626062388,53.8565305471512,56.092825482002,55.094019310458,54.5232576112373,57.8337495572994,61.6872786786846,63.7758993420305,
CIMS.CAN.AB.Commercial,Sector,AB,,Commercial,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,24.0806040416531,24.0806040416531,24.4692437372764,21.3713503600091,48.8703283245918,50.9962196076619,50.0416816932857,49.5009071838886,52.6619082499553,56.3311886358573,58.3206304930621,
CIMS.CAN.AB.Transportation Personal,Sector,AB,,Transportation Personal,,Price multiplier,,,CIMS.CAN.AB.Electricity,Residential,,30.2433596510125,30.2433596510125,32.9242347972992,35.4620626062388,53.8565305471512,56.092825482002,55.094019310458,54.5232576112373,57.8337495572994,61.6872786786846,63.7758993420305,
CIMS.CAN.AB.Transportation Freight,Sector,AB,,Transportation Freight,,Price multiplier,,,CIMS.CAN.AB.Electricity,Commercial,,24.0806040416531,24.0806040416531,24.4692437372764,21.3713503600091,48.8703283245918,50.9962196076619,50.0416816932857,49.5009071838886,52.6619082499553,56.3311886358573,58.3206304930621,
CIMS.CAN.AB.Waste,Sector,AB,,Waste,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Agriculture,Sector,AB,,Agriculture,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,19.9568538470569,19.9568538470569,19.2080424764675,16.9369733159438,41.6910541322232,43.8053544334246,42.841039398065,42.3086281324203,45.4938283515461,49.1608887121375,51.1510352225758,
CIMS.CAN.AB.Electricity,Sector,AB,,Electricity,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AB.Electricity,Sector,AB,,Electricity,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Electricity,Sector,AB,,Electricity,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Electricity,Sector,AB,,Electricity,,LCC_financial,,,,,$/GJ,1,1,1,1,1,1,1,1,1,1,1,Currently set to 1 so that price multipliers can replicate CER final user prices. Reset LCC and price multipliers after calibrating Elec sector.
CIMS.CAN.AB.Electricity,Sector,AB,,Electricity,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Electricity,Sector,AB,,Electricity,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Electricity,Sector,AB,,Electricity,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Biodiesel,Sector,AB,,Biodiesel,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AB.Biodiesel,Sector,AB,,Biodiesel,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Biodiesel,Sector,AB,,Biodiesel,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Biodiesel,Sector,AB,,Biodiesel,,LCC_financial,,,,EA Energy Analyses (2015) & Brown et al. (2020),$/GJ,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,
CIMS.CAN.AB.Biodiesel,Sector,AB,,Biodiesel,,Emissions_biomass,CO2,Combustion,,,tCO2,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,
CIMS.CAN.AB.Biodiesel,Sector,AB,,Biodiesel,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Biodiesel,Sector,AB,,Biodiesel,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Biodiesel,Sector,AB,,Biodiesel,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Ethanol,Sector,AB,,Ethanol,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AB.Ethanol,Sector,AB,,Ethanol,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Ethanol,Sector,AB,,Ethanol,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Ethanol,Sector,AB,,Ethanol,,LCC_financial,,,,,$/GJ,33,33,33,33,33,33,33,33,33,33,33,
CIMS.CAN.AB.Ethanol,Sector,AB,,Ethanol,,Emissions_biomass,CO2,Combustion,,,tCO2,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,
CIMS.CAN.AB.Ethanol,Sector,AB,,Ethanol,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Ethanol,Sector,AB,,Ethanol,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Ethanol,Sector,AB,,Ethanol,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Hydrogen,Sector,AB,,Hydrogen,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AB.Hydrogen,Sector,AB,,Hydrogen,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Hydrogen,Sector,AB,,Hydrogen,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Hydrogen,Sector,AB,,Hydrogen,,LCC_financial,,,,,$/GJ,70.4225352112676,63.3802816901408,57.0422535211268,51.3380281690141,46.2042253521127,41.5838028169014,37.4254225352113,33.6828802816901,30.3145922535211,27.283133028169,24.5548197253521,Temporarily use $10.00-3.50/kg
CIMS.CAN.AB.Hydrogen,Sector,AB,,Hydrogen,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Hydrogen,Sector,AB,,Hydrogen,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AB.Hydrogen,Sector,AB,,Hydrogen,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
