,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT.Natural Gas Extraction,Sector,AT,,Natural Gas Extraction,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,,Petroleum Crude,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Coal Mining,Sector,AT,,Coal Mining,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Mining,Sector,AT,,Mining,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,Price multiplier,,,CIMS.CAN.AT.Electricity,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Hydrogen,Sector,AT,,Hydrogen,,Price multiplier,,,CIMS.CAN.AT.Electricity,Petroleum Refining,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,Use petroleum refining sector as proxy
CIMS.CAN.AT.Petroleum Refining,Sector,AT,,Petroleum Refining,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Industrial Minerals,Sector,AT,,Industrial Minerals,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Metal Smelting,Sector,AT,,Metal Smelting,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Pulp and Paper,Sector,AT,,Pulp and Paper,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Light Industrial,Sector,AT,,Light Industrial,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Residential,Sector,AT,,Residential,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,36.5774576176105,36.5774576176105,44.3763703527531,46.5417880049705,53.2175995403269,54.250028774684,54.6474808039241,54.0214833855559,54.0400748517506,54.5572654766106,55.263894067161,
CIMS.CAN.AT.Commercial,Sector,AT,,Commercial,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,30.6675818470328,30.6675818470328,35.2776838565475,36.8077195439458,40.2605649823819,41.1870259031209,41.5244588547286,40.9802789504555,41.0543730410588,41.5421313225719,42.1832807249501,
CIMS.CAN.AT.Transportation Personal,Sector,AT,,Transportation Personal,,Price multiplier,,,CIMS.CAN.AT.Electricity,Residential,,36.5774576176105,36.5774576176105,44.3763703527531,46.5417880049705,53.2175995403269,54.250028774684,54.6474808039241,54.0214833855559,54.0400748517506,54.5572654766106,55.263894067161,
CIMS.CAN.AT.Transportation Freight,Sector,AT,,Transportation Freight,,Price multiplier,,,CIMS.CAN.AT.Electricity,Commercial,,30.6675818470328,30.6675818470328,35.2776838565475,36.8077195439458,40.2605649823819,41.1870259031209,41.5244588547286,40.9802789504555,41.0543730410588,41.5421313225719,42.1832807249501,
CIMS.CAN.AT.Waste,Sector,AT,,Waste,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Agriculture,Sector,AT,,Agriculture,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,18.9458294151891,18.9458294151891,25.3223269796787,27.1139770038344,29.7311028936492,30.6405680021783,30.9636589834578,30.4317420512188,30.5413309537313,31.0258593557455,31.6680703402739,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,LCC_financial,,,,,$/GJ,1,1,1,1,1,1,1,1,1,1,1,Currently set to 1 so that price multipliers can replicate CER final user prices. Reset LCC and price multipliers after calibrating Elec sector.
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,LCC_financial,,,,EA Energy Analyses (2015) & Brown et al. (2020),$/GJ,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,Emissions_biomass,CO2,Combustion,,,tCO2,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,LCC_financial,,,,,$/GJ,33,33,33,33,33,33,33,33,33,33,33,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,Emissions_biomass,CO2,Combustion,,,tCO2,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
