,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB.Natural Gas Extraction,Sector,MB,,Natural Gas Extraction,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.1513243452857,12.1513243452857,13.4386671644942,14.2627792325155,17.0944891034793,18.1263432482399,18.4992655917429,18.267260733464,17.8774606392228,18.2070408568135,19.6198095187558,
CIMS.CAN.MB.Mining,Sector,MB,,Mining,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.1513243452857,12.1513243452857,13.4386671644942,14.2627792325155,17.0944891034793,18.1263432482399,18.4992655917429,18.267260733464,17.8774606392228,18.2070408568135,19.6198095187558,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,Price multiplier,,,CIMS.CAN.MB.Electricity,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.1513243452857,12.1513243452857,13.4386671644942,14.2627792325155,17.0944891034793,18.1263432482399,18.4992655917429,18.267260733464,17.8774606392228,18.2070408568135,19.6198095187558,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.1513243452857,12.1513243452857,13.4386671644942,14.2627792325155,17.0944891034793,18.1263432482399,18.4992655917429,18.267260733464,17.8774606392228,18.2070408568135,19.6198095187558,
CIMS.CAN.MB.Hydrogen,Sector,MB,,Hydrogen,,Price multiplier,,,CIMS.CAN.MB.Electricity,Biodiesel,,12.1513243452857,12.1513243452857,13.4386671644942,14.2627792325155,17.0944891034793,18.1263432482399,18.4992655917429,18.267260733464,17.8774606392228,18.2070408568135,19.6198095187558,Use biodiesel sector as proxy
CIMS.CAN.MB.Metal Smelting,Sector,MB,,Metal Smelting,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.1513243452857,12.1513243452857,13.4386671644942,14.2627792325155,17.0944891034793,18.1263432482399,18.4992655917429,18.267260733464,17.8774606392228,18.2070408568135,19.6198095187558,
CIMS.CAN.MB.Light Industrial,Sector,MB,,Light Industrial,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.1513243452857,12.1513243452857,13.4386671644942,14.2627792325155,17.0944891034793,18.1263432482399,18.4992655917429,18.267260733464,17.8774606392228,18.2070408568135,19.6198095187558,
CIMS.CAN.MB.Residential,Sector,MB,,Residential,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,22.8858627742856,22.8858627742856,25.5499179795201,27.3976932051746,32.8204793593599,33.9470020084417,34.3654830524412,34.1005195287767,33.6347799873312,33.9915664036459,35.5003457742151,
CIMS.CAN.MB.Commercial,Sector,MB,,Commercial,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,17.9563376618966,17.9563376618966,18.6549710362552,19.7820919335222,23.7565095040135,24.7991130277756,25.181112325499,24.9413469930171,24.5290838131629,24.8607050888481,26.2728042557569,
CIMS.CAN.MB.Transportation Personal,Sector,MB,,Transportation Personal,,Price multiplier,,,CIMS.CAN.MB.Electricity,Residential,,22.8858627742856,22.8858627742856,25.5499179795201,27.3976932051746,32.8204793593599,33.9470020084417,34.3654830524412,34.1005195287767,33.6347799873312,33.9915664036459,35.5003457742151,
CIMS.CAN.MB.Transportation Freight,Sector,MB,,Transportation Freight,,Price multiplier,,,CIMS.CAN.MB.Electricity,Commercial,,17.9563376618966,17.9563376618966,18.6549710362552,19.7820919335222,23.7565095040135,24.7991130277756,25.181112325499,24.9413469930171,24.5290838131629,24.8607050888481,26.2728042557569,
CIMS.CAN.MB.Waste,Sector,MB,,Waste,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.1513243452857,12.1513243452857,13.4386671644942,14.2627792325155,17.0944891034793,18.1263432482399,18.4992655917429,18.267260733464,17.8774606392228,18.2070408568135,19.6198095187558,
