,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON.Electricity,Sector,ON,,Electricity,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.ON.Electricity,Sector,ON,,Electricity,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Electricity,Sector,ON,,Electricity,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Electricity,Sector,ON,,Electricity,,LCC_financial,,,,CER,$/GJ,18.9103146338624,18.7264850950294,20.2959350327548,23.206499725753,22.7939669281076,22.1323917681046,21.3133300476869,19.5713965534617,18.8787208961489,19.3283378892168,19.6929134739199,
CIMS.CAN.ON.Electricity,Sector,ON,,Electricity,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Electricity,Sector,ON,,Electricity,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Electricity,Sector,ON,,Electricity,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Biodiesel,Sector,ON,,Biodiesel,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.ON.Biodiesel,Sector,ON,,Biodiesel,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Biodiesel,Sector,ON,,Biodiesel,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Biodiesel,Sector,ON,,Biodiesel,,LCC_financial,,,,EA Energy Analyses (2015) & Brown et al. (2020),$/GJ,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,
CIMS.CAN.ON.Biodiesel,Sector,ON,,Biodiesel,,Emissions_biomass,CO2,Combustion,,,tCO2,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,
CIMS.CAN.ON.Biodiesel,Sector,ON,,Biodiesel,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Biodiesel,Sector,ON,,Biodiesel,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Biodiesel,Sector,ON,,Biodiesel,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Ethanol,Sector,ON,,Ethanol,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.ON.Ethanol,Sector,ON,,Ethanol,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Ethanol,Sector,ON,,Ethanol,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Ethanol,Sector,ON,,Ethanol,,LCC_financial,,,,,$/GJ,33,33,33,33,33,33,33,33,33,33,33,
CIMS.CAN.ON.Ethanol,Sector,ON,,Ethanol,,Emissions_biomass,CO2,Combustion,,,tCO2,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,
CIMS.CAN.ON.Ethanol,Sector,ON,,Ethanol,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Ethanol,Sector,ON,,Ethanol,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Ethanol,Sector,ON,,Ethanol,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Hydrogen,Sector,ON,,Hydrogen,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.ON.Hydrogen,Sector,ON,,Hydrogen,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Hydrogen,Sector,ON,,Hydrogen,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Hydrogen,Sector,ON,,Hydrogen,,LCC_financial,,,,,$/GJ,70.4225352112676,63.3802816901408,57.0422535211268,51.3380281690141,46.2042253521127,41.5838028169014,37.4254225352113,33.6828802816901,30.3145922535211,27.283133028169,24.5548197253521,Temporarily use $10.00-3.50/kg
CIMS.CAN.ON.Hydrogen,Sector,ON,,Hydrogen,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Hydrogen,Sector,ON,,Hydrogen,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Hydrogen,Sector,ON,,Hydrogen,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
