CIMS.CAN.MB.Natural Gas.Production.Supply.CCS,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB.Petroleum Crude.Still Gas Steam,Service,MB,Petroleum Crude,Still Gas Steam,Boiler CCS,dic_initial,,,,,$,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,
CIMS.CAN.MB.Petroleum Crude.Still Gas Steam,Service,MB,Petroleum Crude,Still Gas Steam,Boiler CCS,dic_slope,,,,,,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,
CIMS.CAN.MB.Petroleum Crude.Still Gas Steam,Service,MB,Petroleum Crude,Still Gas Steam,Boiler CCS,dic_x50,,,,,,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,
CIMS.CAN.MB.Petroleum Crude.Still Gas Steam,Service,MB,Petroleum Crude,Still Gas Steam,Boiler CCS,dic_min,,,,,,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,
CIMS.CAN.MB.Petroleum Crude.Still Gas Steam,Service,MB,Petroleum Crude,Still Gas Steam,Cogen CCS,dic_initial,,,,,$,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,7162776.6536,
CIMS.CAN.MB.Petroleum Crude.Still Gas Steam,Service,MB,Petroleum Crude,Still Gas Steam,Cogen CCS,dic_slope,,,,,,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,6.0633,
CIMS.CAN.MB.Petroleum Crude.Still Gas Steam,Service,MB,Petroleum Crude,Still Gas Steam,Cogen CCS,dic_x50,,,,,,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,
CIMS.CAN.MB.Petroleum Crude.Still Gas Steam,Service,MB,Petroleum Crude,Still Gas Steam,Cogen CCS,dic_min,,,,,,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,-55072.8918,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Boiler NG CCS,dic_initial,,,,,$,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Boiler NG CCS,dic_slope,,,,,,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Boiler NG CCS,dic_x50,,,,,,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Boiler NG CCS,dic_min,,,,,,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Boiler Petcoke CCS,dic_initial,,,,,$,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Boiler Petcoke CCS,dic_slope,,,,,,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Boiler Petcoke CCS,dic_x50,,,,,,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Boiler Petcoke CCS,dic_min,,,,,,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Cogen NG CCS,dic_initial,,,,,$,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,5968943.9819,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Cogen NG CCS,dic_slope,,,,,,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,6.0635,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Cogen NG CCS,dic_x50,,,,,,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Cogen NG CCS,dic_min,,,,,,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,-45920.0604,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Electric,dic_initial,,,,,$,8346737.966,8346737.966,8346737.966,8346737.966,8346737.966,8346737.966,8346737.966,8346737.966,8346737.966,8346737.966,8346737.966,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Electric,dic_slope,,,,,,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Electric,dic_x50,,,,,,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,
CIMS.CAN.MB.Petroleum Crude.Steam,Service,MB,Petroleum Crude,Steam,Electric,dic_min,,,,,,-64747.0616,-64747.0616,-64747.0616,-64747.0616,-64747.0616,-64747.0616,-64747.0616,-64747.0616,-64747.0616,-64747.0616,-64747.0616,
CIMS.CAN.MB.Residential.Dwellings.Lighting,Service,MB,Residential,Lighting,CFL,dic_initial,,,,,$,5,5,5,5,5,5,5,5,5,5,5,
CIMS.CAN.MB.Residential.Dwellings.Lighting,Service,MB,Residential,Lighting,CFL,dic_slope,,,,,,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,
CIMS.CAN.MB.Residential.Dwellings.Lighting,Service,MB,Residential,Lighting,CFL,dic_x50,,,,,,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,
CIMS.CAN.MB.Residential.Dwellings.Lighting,Service,MB,Residential,Lighting,CFL,dic_min,,,,,,-30.9742,-30.9742,-30.9742,-30.9742,-30.9742,-30.9742,-30.9742,-30.9742,-30.9742,-30.9742,-30.9742,
CIMS.CAN.MB.Residential.Dwellings.Lighting,Service,MB,Residential,Lighting,LED,dic_initial,,,,,$,2,2,2,2,2,2,2,2,2,2,2,
CIMS.CAN.MB.Residential.Dwellings.Lighting,Service,MB,Residential,Lighting,LED,dic_slope,,,,,,1.7888,1.7888,1.7888,1.7888,1.7888,1.7888,1.7888,1.7888,1.7888,1.7888,1.7888,
CIMS.CAN.MB.Residential.Dwellings.Lighting,Service,MB,Residential,Lighting,LED,dic_x50,,,,,,0.2752,0.2752,0.2752,0.2752,0.2752,0.2752,0.2752,0.2752,0.2752,0.2752,0.2752,
CIMS.CAN.MB.Residential.Dwellings.Lighting,Service,MB,Residential,Lighting,LED,dic_min,,,,,,-0.4441,-0.4441,-0.4441,-0.4441,-0.4441,-0.4441,-0.4441,-0.4441,-0.4441,-0.4441,-0.4441,
CIMS.CAN.MB.Residential.Dwellings.Refrigerators,Service,MB,Residential,Refrigerators,High Efficiency,dic_initial,,,,,$,60,60,60,60,60,60,60,60,60,60,60,
CIMS.CAN.MB.Residential.Dwellings.Refrigerators,Service,MB,Residential,Refrigerators,High Efficiency,dic_slope,,,,,,9.8354,9.8354,9.8354,9.8354,9.8354,9.8354,9.8354,9.8354,9.8354,9.8354,9.8354,
CIMS.CAN.MB.Residential.Dwellings.Refrigerators,Service,MB,Residential,Refrigerators,High Efficiency,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Dwellings.Refrigerators,Service,MB,Residential,Refrigerators,High Efficiency,dic_min,,,,,,0.3753,0.3753,0.3753,0.3753,0.3753,0.3753,0.3753,0.3753,0.3753,0.3753,0.3753,
CIMS.CAN.MB.Residential.Dwellings.Freezers,Service,MB,Residential,Freezers,High Efficiency,dic_initial,,,,,$,121.2438,121.2438,121.2438,121.2438,121.2438,121.2438,121.2438,121.2438,121.2438,121.2438,121.2438,
CIMS.CAN.MB.Residential.Dwellings.Freezers,Service,MB,Residential,Freezers,High Efficiency,dic_slope,,,,,,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,
CIMS.CAN.MB.Residential.Dwellings.Freezers,Service,MB,Residential,Freezers,High Efficiency,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Dwellings.Freezers,Service,MB,Residential,Freezers,High Efficiency,dic_min,,,,,,-0.1604,-0.1604,-0.1604,-0.1604,-0.1604,-0.1604,-0.1604,-0.1604,-0.1604,-0.1604,-0.1604,
CIMS.CAN.MB.Residential.Dwellings.Ranges,Service,MB,Residential,Ranges,Electric Induction,dic_initial,,,,,$,600,600,600,600,600,600,600,600,600,600,600,
CIMS.CAN.MB.Residential.Dwellings.Ranges,Service,MB,Residential,Ranges,Electric Induction,dic_slope,,,,,,5.5006,5.5006,5.5006,5.5006,5.5006,5.5006,5.5006,5.5006,5.5006,5.5006,5.5006,
CIMS.CAN.MB.Residential.Dwellings.Ranges,Service,MB,Residential,Ranges,Electric Induction,dic_x50,,,,,,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,
CIMS.CAN.MB.Residential.Dwellings.Ranges,Service,MB,Residential,Ranges,Electric Induction,dic_min,,,,,,-1.1693,-1.1693,-1.1693,-1.1693,-1.1693,-1.1693,-1.1693,-1.1693,-1.1693,-1.1693,-1.1693,
CIMS.CAN.MB.Residential.Dwellings.Dishwashing.Machine,Service,MB,Residential,Machine,High (58% Eff),dic_initial,,,,,$,200,200,200,200,200,200,200,200,200,200,200,
CIMS.CAN.MB.Residential.Dwellings.Dishwashing.Machine,Service,MB,Residential,Machine,High (58% Eff),dic_slope,,,,,,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,
CIMS.CAN.MB.Residential.Dwellings.Dishwashing.Machine,Service,MB,Residential,Machine,High (58% Eff),dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Dwellings.Dishwashing.Machine,Service,MB,Residential,Machine,High (58% Eff),dic_min,,,,,,-0.2626,-0.2626,-0.2626,-0.2626,-0.2626,-0.2626,-0.2626,-0.2626,-0.2626,-0.2626,-0.2626,
CIMS.CAN.MB.Residential.Dwellings.Dishwashing.Machine,Service,MB,Residential,Machine,Top (94% Eff),dic_initial,,,,,$,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,
CIMS.CAN.MB.Residential.Dwellings.Dishwashing.Machine,Service,MB,Residential,Machine,Top (94% Eff),dic_slope,,,,,,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,
CIMS.CAN.MB.Residential.Dwellings.Dishwashing.Machine,Service,MB,Residential,Machine,Top (94% Eff),dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Dwellings.Dishwashing.Machine,Service,MB,Residential,Machine,Top (94% Eff),dic_min,,,,,,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,
CIMS.CAN.MB.Residential.Dwellings.Clothes Washing,Service,MB,Residential,Clothes Washing,High Efficiency,dic_initial,,,,,$,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,242.4869,
CIMS.CAN.MB.Residential.Dwellings.Clothes Washing,Service,MB,Residential,Clothes Washing,High Efficiency,dic_slope,,,,,,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,9.8364,
CIMS.CAN.MB.Residential.Dwellings.Clothes Washing,Service,MB,Residential,Clothes Washing,High Efficiency,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Dwellings.Clothes Washing,Service,MB,Residential,Clothes Washing,High Efficiency,dic_min,,,,,,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,-0.3207,
CIMS.CAN.MB.Residential.Dwellings.Clothes Washing,Service,MB,Residential,Clothes Washing,Steam,dic_initial,,,,,$,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,
CIMS.CAN.MB.Residential.Dwellings.Clothes Washing,Service,MB,Residential,Clothes Washing,Steam,dic_slope,,,,,,9.836,9.836,9.836,9.836,9.836,9.836,9.836,9.836,9.836,9.836,9.836,
CIMS.CAN.MB.Residential.Dwellings.Clothes Washing,Service,MB,Residential,Clothes Washing,Steam,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Dwellings.Clothes Washing,Service,MB,Residential,Clothes Washing,Steam,dic_min,,,,,,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,
CIMS.CAN.MB.Residential.Dwellings.Minor Appliances,Service,MB,Residential,Minor Appliances,New 1W standby,dic_initial,,,,,$,181.8656,181.8656,181.8656,181.8656,181.8656,181.8656,181.8656,181.8656,181.8656,181.8656,181.8656,
CIMS.CAN.MB.Residential.Dwellings.Minor Appliances,Service,MB,Residential,Minor Appliances,New 1W standby,dic_slope,,,,,,9.8356,9.8356,9.8356,9.8356,9.8356,9.8356,9.8356,9.8356,9.8356,9.8356,9.8356,
CIMS.CAN.MB.Residential.Dwellings.Minor Appliances,Service,MB,Residential,Minor Appliances,New 1W standby,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Dwellings.Minor Appliances,Service,MB,Residential,Minor Appliances,New 1W standby,dic_min,,,,,,-0.2404,-0.2404,-0.2404,-0.2404,-0.2404,-0.2404,-0.2404,-0.2404,-0.2404,-0.2404,-0.2404,
CIMS.CAN.MB.Residential.Dwellings.Minor Appliances,Service,MB,Residential,Minor Appliances,New PV panels,dic_initial,,,,,$,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,606.2198,
CIMS.CAN.MB.Residential.Dwellings.Minor Appliances,Service,MB,Residential,Minor Appliances,New PV panels,dic_slope,,,,,,9.836,9.836,9.836,9.836,9.836,9.836,9.836,9.836,9.836,9.836,9.836,
CIMS.CAN.MB.Residential.Dwellings.Minor Appliances,Service,MB,Residential,Minor Appliances,New PV panels,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Dwellings.Minor Appliances,Service,MB,Residential,Minor Appliances,New PV panels,dic_min,,,,,,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,-0.8017,
CIMS.CAN.MB.Residential.Clothes Drying.Machine,Service,MB,Residential,Machine,Electric heat pump,dic_initial,,,,,$,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,
CIMS.CAN.MB.Residential.Clothes Drying.Machine,Service,MB,Residential,Machine,Electric heat pump,dic_slope,,,,,,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,
CIMS.CAN.MB.Residential.Clothes Drying.Machine,Service,MB,Residential,Machine,Electric heat pump,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Clothes Drying.Machine,Service,MB,Residential,Machine,Electric heat pump,dic_min,,,,,,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,
CIMS.CAN.MB.Residential.Clothes Drying.Machine,Service,MB,Residential,Machine,NG heat pump,dic_initial,,,,,$,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,666.8475,
CIMS.CAN.MB.Residential.Clothes Drying.Machine,Service,MB,Residential,Machine,NG heat pump,dic_slope,,,,,,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,
CIMS.CAN.MB.Residential.Clothes Drying.Machine,Service,MB,Residential,Machine,NG heat pump,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Clothes Drying.Machine,Service,MB,Residential,Machine,NG heat pump,dic_min,,,,,,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,-0.9123,
CIMS.CAN.MB.Residential.Water Heating.LowMed Density,Service,MB,Residential,LowMed Density,Electric - ASHP,dic_initial,,,,,$,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,
CIMS.CAN.MB.Residential.Water Heating.LowMed Density,Service,MB,Residential,LowMed Density,Electric - ASHP,dic_slope,,,,,,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,
CIMS.CAN.MB.Residential.Water Heating.LowMed Density,Service,MB,Residential,LowMed Density,Electric - ASHP,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Water Heating.LowMed Density,Service,MB,Residential,LowMed Density,Electric - ASHP,dic_min,,,,,,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,
CIMS.CAN.MB.Residential.Water Heating.LowMed Density,Service,MB,Residential,LowMed Density,NG - Tankless - Standard,dic_initial,,,,,$,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,363.7318,
CIMS.CAN.MB.Residential.Water Heating.LowMed Density,Service,MB,Residential,LowMed Density,NG - Tankless - Standard,dic_slope,,,,,,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,9.8361,
CIMS.CAN.MB.Residential.Water Heating.LowMed Density,Service,MB,Residential,LowMed Density,NG - Tankless - Standard,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Water Heating.LowMed Density,Service,MB,Residential,LowMed Density,NG - Tankless - Standard,dic_min,,,,,,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,-0.4809,
CIMS.CAN.MB.Residential.Water Heating.High Density,Service,MB,Residential,High Density,NG - Storage - Standard,dic_initial,,,,,$,3031.1247,3031.1247,3031.1247,3031.1247,3031.1247,3031.1247,3031.1247,3031.1247,3031.1247,3031.1247,3031.1247,
CIMS.CAN.MB.Residential.Water Heating.High Density,Service,MB,Residential,High Density,NG - Storage - Standard,dic_slope,,,,,,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,9.8345,
CIMS.CAN.MB.Residential.Water Heating.High Density,Service,MB,Residential,High Density,NG - Storage - Standard,dic_x50,,,,,,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,0.1921,
CIMS.CAN.MB.Residential.Water Heating.High Density,Service,MB,Residential,High Density,NG - Storage - Standard,dic_min,,,,,,-4.0065,-4.0065,-4.0065,-4.0065,-4.0065,-4.0065,-4.0065,-4.0065,-4.0065,-4.0065,-4.0065,
CIMS.CAN.MB.Commercial.Buildings.Shell.Wholesale (Cold),Service,MB,Commercial,Wholesale (Cold),LEED Silver,dic_initial,,,,,$,40,40,40,40,40,40,40,40,40,40,40,
CIMS.CAN.MB.Commercial.Buildings.Shell.Wholesale (Cold),Service,MB,Commercial,Wholesale (Cold),LEED Silver,dic_slope,,,,,,5.4879,5.4879,5.4879,5.4879,5.4879,5.4879,5.4879,5.4879,5.4879,5.4879,5.4879,
CIMS.CAN.MB.Commercial.Buildings.Shell.Wholesale (Cold),Service,MB,Commercial,Wholesale (Cold),LEED Silver,dic_x50,,,,,,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,
