,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,QC,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,DIC_initial,,,,,$,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,48867562.3800383,
CIMS.CAN.QC.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,QC,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.QC.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,QC,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam,Service,QC,Petroleum Refining,Steam,Still Gas fired boiler Eff CCS,DIC_initial,,,,,$,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam,Service,QC,Petroleum Refining,Steam,Still Gas fired boiler Eff CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam,Service,QC,Petroleum Refining,Steam,Still Gas fired boiler Eff CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam,Service,QC,Petroleum Refining,Steam,Still Gas fired cogen CCS,DIC_initial,,,,,$,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,7330134.35700576,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam,Service,QC,Petroleum Refining,Steam,Still Gas fired cogen CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam,Service,QC,Petroleum Refining,Steam,Still Gas fired cogen CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Heater,Service,QC,Petroleum Refining,Heater,Still Gas fired increased Eff CCS,DIC_initial,,,,,$,1221689.05950096,1221689.05950096,1221689.05950096,1221689.05950096,1221689.05950096,1221689.05950096,1221689.05950096,1221689.05950096,1221689.05950096,1221689.05950096,1221689.05950096,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Heater,Service,QC,Petroleum Refining,Heater,Still Gas fired increased Eff CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Heater,Service,QC,Petroleum Refining,Heater,Still Gas fired increased Eff CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.QC.Industrial Minerals.Products.Cement.Portland cement.Clinker.Dry process rotary kiln,Service,QC,Industrial Minerals,Dry process rotary kiln,New preheat Eff with CCS,DIC_initial,,,,,$,36650671.7850288,36650671.7850288,36650671.7850288,36650671.7850288,36650671.7850288,36650671.7850288,36650671.7850288,36650671.7850288,36650671.7850288,36650671.7850288,36650671.7850288,
CIMS.CAN.QC.Industrial Minerals.Products.Cement.Portland cement.Clinker.Dry process rotary kiln,Service,QC,Industrial Minerals,Dry process rotary kiln,New preheat Eff with CCS,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.QC.Industrial Minerals.Products.Cement.Portland cement.Clinker.Dry process rotary kiln,Service,QC,Industrial Minerals,Dry process rotary kiln,New preheat Eff with CCS,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.QC.Chemical Products.Steam,Service,QC,Chemical Products,Steam,Electric,DIC_initial,,,,,$,8551823.41650671,8551823.41650671,8551823.41650671,8551823.41650671,8551823.41650671,8551823.41650671,8551823.41650671,8551823.41650671,8551823.41650671,8551823.41650671,8551823.41650671,
CIMS.CAN.QC.Chemical Products.Steam,Service,QC,Chemical Products,Steam,Electric,DIC_rate,,,,,,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.QC.Chemical Products.Steam,Service,QC,Chemical Products,Steam,Electric,DIC_shape,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
CIMS.CAN.QC.Residential.Dwellings.Lighting,Service,QC,Residential,Lighting,CFL,DIC_initial,,,,,$,5,5,5,5,5,5,5,5,5,5,5,
CIMS.CAN.QC.Residential.Dwellings.Lighting,Service,QC,Residential,Lighting,CFL,DIC_slope,,,,,,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,3.6696,
CIMS.CAN.QC.Residential.Dwellings.Lighting,Service,QC,Residential,Lighting,CFL,DIC_x50,,,,,,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,2.1694,
