,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Agriculture,,,Service requested,,,CIMS.CAN.ON.Agriculture,activity_data_region,tCO2e,11070000,11000000,10559000,10911000,12100000,12100000,12100000,12100000,12100000,12100000,12100000,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Service provided,,,,activity_data_generic,tCO2e,,,,,,,,,,,,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1.20140728535252,1.46258705159767,1.87565937986037,2.065822967787,2.17233816786086,2.82226305294495,2.7005718553512,2.6016775089512,2.5050661881433,2.50363401775289,2.50387541467882,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.55124403563774,0.63580249051724,0.87165726739348,0.88015451134574,1.02366342533494,1.12891704071494,1.22045175745182,1.29469667312461,1.3514778337119,1.36128730660589,1.37811016243234,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.CAN.ON.Electricity,CER,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.994028726656,0.99192137073166,1.01992087393457,1.05029024706468,1.14988366440469,1.22563719168813,1.29981821446978,1.2998302908361,1.28801044993406,1.2810197414009,1.27710833827122,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.CAN.ON.Hydrogen,JCIMS,,0.99999999982763,0.99999999991568,0.99999999992788,1.00000000009596,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.12917327936608,1.2025467881909,1.33150712374001,1.46563687919243,1.42734863041423,1.28565924491159,1.22675236911126,1.22494908539808,1.22792281128507,1.23554137917233,1.24347751839639,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture,Sector,ON,Agriculture,,,Service requested,,,CIMS.CAN.ON.Agriculture.Process,activity_data_generic,tCO2e,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Agriculture.Process,Service,ON,Agriculture,Process,,Service provided,,,,activity_data_generic,tCO2e,,,,,,,,,,,,
CIMS.CAN.ON.Agriculture.Process,Service,ON,Agriculture,Process,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Agriculture.Process,Service,ON,Agriculture,Process,,Service requested,,,CIMS.CAN.ON.Agriculture.Process.Enteric Fermentation and Manure Management,activity_data_region,tCO2e,0.67046070460705,0.68050845582789,0.61416800833412,0.57694070204381,0.52801652892562,0.52801652892562,0.52801652892562,0.52801652892562,0.52801652892562,0.52801652892562,0.52801652892562,
CIMS.CAN.ON.Agriculture.Process,Service,ON,Agriculture,Process,,Service requested,,,CIMS.CAN.ON.Agriculture.Process.Soils,activity_data_region,tCO2e,0.18003613369467,0.17072727272727,0.23780661047448,0.22014480799194,0.27528925619835,0.27528925619835,0.27528925619835,0.27528925619835,0.27528925619835,0.27528925619835,0.27528925619835,
CIMS.CAN.ON.Agriculture.Process,Service,ON,Agriculture,Process,,Service requested,,,CIMS.CAN.ON.Agriculture.Heat,activity_data_region,tCO2e,0.14950316169828,0.14876427144484,0.1480253811914,0.20291448996426,0.19669421487603,0.19669421487603,0.19669421487603,0.19669421487603,0.19669421487603,0.19669421487603,0.19669421487603,
CIMS.CAN.ON.Agriculture.Process.Enteric Fermentation and Manure Management,Service,ON,Agriculture,Enteric Fermentation and Manure Management,,Service provided,,,,activity_data_generic,tCO2e,,,,,,,,,,,,
CIMS.CAN.ON.Agriculture.Process.Enteric Fermentation and Manure Management,Service,ON,Agriculture,Enteric Fermentation and Manure Management,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Agriculture.Process.Enteric Fermentation and Manure Management,Service,ON,Agriculture,Enteric Fermentation and Manure Management,,Discount rate_financial,,,,tech_data_generic,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.ON.Agriculture.Process.Enteric Fermentation and Manure Management,Service,ON,Agriculture,Enteric Fermentation and Manure Management,,Discount rate_retrofit,,,,tech_data_generic,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.ON.Agriculture.Process.Enteric Fermentation and Manure Management,Service,ON,Agriculture,Enteric Fermentation and Manure Management,,Heterogeneity,,,,tech_data_generic,,10,10,10,10,10,10,10,10,10,10,10,
