CIMS.CAN.SK.Petroleum Refining.Methane Blend,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK,Region,SK,Chemical Products,,,Service requested,,,CIMS.CAN.SK.Chemical Products,activity_data_region,tonne,700000,700000,755248.973305955,758303.388090349,792351.12936345,833855.23613963,874640.657084189,899589.32238193,924537.987679671,949486.652977412,974435.318275153,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Service provided,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.CAN.SK.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504943978272,1.11911353386197,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.CAN.SK.Electricity,CER,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.CAN.SK.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.00398172643318,1.00770540846205,0.98543751863212,0.94747956925584,0.94097280286954,0.9099685360173,0.85974547700378,0.85752824132152,0.87125772534436,0.88717016090188,0.89691579876092,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.CAN.SK.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Chemical Products,Sector,SK,Chemical Products,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
