,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB,Region,AB,Commercial,,,service_request,,,CIMS.CAN.AB.Commercial,annual_region,m2,86974499.9999998,94499399.9999997,105488800,109872300,109783500,111328524.570265,112895292.85359,114484110.857444,116095288.895854,117729141.650012,119385988.229739,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,service_provide,,,,constant_tech,m2,,,,,,,,,,,,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,multiplier_price,,,CIMS.CAN.AB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,multiplier_price,,,CIMS.CAN.AB.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,multiplier_price,,,CIMS.CAN.AB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
