,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC,Region,BC,Commercial,,,Service requested,,,CIMS.CAN.BC.Commercial,annual_region,m2,79494599.9999999,89886299.9999997,101206400,104749400,105283200,106749417.890669,108236054.945108,109743395.529133,111271727.968759,112821344.605349,114392541.851536,
CIMS.CAN.BC.Commercial,Sector,BC,Commercial,,,Service provided,,,,constant_tech,m2,,,,,,,,,,,,
CIMS.CAN.BC.Commercial,Sector,BC,Commercial,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Commercial,Sector,BC,Commercial,,,Price multiplier,,,CIMS.CAN.BC.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Commercial,Sector,BC,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Commercial,Sector,BC,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Commercial,Sector,BC,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Commercial,Sector,BC,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Commercial,Sector,BC,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Commercial,Sector,BC,Commercial,,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,
