,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB,Region,MB,Commercial,,,Service requested,,,CIMS.CAN.MB.Commercial,annual_region,m2,25761100,26746100,27830600,27794700,27874999.9999999,27890557.1008929,27906122.8842392,27921697.3548847,27937280.5176776,27952872.3774691,27968472.939113,
CIMS.CAN.MB.Commercial,Sector,MB,Commercial,,,Service provided,,,,constant_tech,m2,,,,,,,,,,,,
CIMS.CAN.MB.Commercial,Sector,MB,Commercial,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Commercial,Sector,MB,Commercial,,,Price multiplier,,,CIMS.CAN.MB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Commercial,Sector,MB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Commercial,Sector,MB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Commercial,Sector,MB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Commercial,Sector,MB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Commercial,Sector,MB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Commercial,Sector,MB,Commercial,,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,
CIMS.CAN.MB.Commercial,Sector,MB,Commercial,,,Price multiplier,,,CIMS.CAN.MB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
