,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Commercial,,,Service requested,,,CIMS.CAN.ON.Commercial,annual_region,m2,227206499.999999,249358700,272318200,287350399.999999,297809199.999999,307296666.563103,317086380.409992,327187970.393631,337611372.118492,348366837.712899,359464945.912697,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Service provided,,,,constant_tech,m2,,,,,,,,,,,,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.CAN.ON.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.50074966788193,1.45426660315262,1.3933434325303,1.4601671679996,1.43136633141867,1.32134969438041,1.28155947376312,1.32578816743734,1.35325732518508,1.38091708473615,1.40523019439425,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.23638182889256,1.32691300744799,1.59496554701357,1.80602358708754,1.36066315688707,0.99702929469441,0.81900386603983,0.90761844893255,0.96774592595346,1.02179939996985,1.07051134167414,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings,annual_tech,m2,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service provided,,,,constant_tech,m2,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell,annual_region,m2,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Lighting,annual_region,m2,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Refrigeration,annual_region,unit,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Cooking,annual_region,unit,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Hot Water,annual_region,unit,1.50286190747088,1.51864916774964,1.53460227000355,1.550722956369,1.56701298728318,1.58347414167631,1.60010821716592,1.61691703025314,1.61691703025314,1.61691703025314,1.61691703025314,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Plug Load,annual_region,unit,6.175686604,8.704433371,10.64871897,12.28915257,13.73504009,15.0425856,16.24522812,17.36477734,18.41639344,18.41639344,18.41639344,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service provided,,,,constant_tech,m2,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Retirement intercept,,,,constant_tech,,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale (Cold),annual_region,m2,0.0652939066444,0.06185386754102,0.06031289866046,0.05828563315033,0.0582235202942,0.05529965855315,0.05356404893625,0.05230488024955,0.0515760201121,0.05115066296462,0.05090122927297,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Retail (Cold),annual_region,m2,0.15377773083076,0.15665665565308,0.16346759048789,0.16167021169972,0.15696056401213,0.16430117310824,0.16603416549926,0.16731818950578,0.16808129740412,0.16853362455302,0.16880132074197,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Transportation and Warehousing (Cold),annual_region,m2,0.05110505201216,0.04560899619704,0.04176327546231,0.03952839460116,0.04057430059246,0.03482539799069,0.03204833245475,0.03008581311363,0.02898674427334,0.02835767553491,0.02799297982234,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Information and Cultural (Cold),annual_region,m2,0.02192983035256,0.02183962300092,0.02173560195389,0.0213839966814,0.02140229381765,0.02099178011628,0.02076185245515,0.02059329024652,0.02049443296751,0.02043629342161,0.02040204415075,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Offices (Cold),annual_region,m2,0.42988514853228,0.43431811282301,0.4374746160925,0.43561832522245,0.43355443686763,0.43594526735985,0.43626315685921,0.43649756316955,0.43663604000418,0.4367178309047,0.43676613518661,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Educational (Cold),annual_region,m2,0.12432126721727,0.1257642103524,0.12141641653037,0.12258900631424,0.128651163228,0.12496543101479,0.12522235421247,0.12541192873289,0.12552401243239,0.12559024624654,0.12562937392572,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Healthcare and Social Assistance (Cold),annual_region,m2,0.0651050916237,0.06721361636871,0.06796460904927,0.07433676793211,0.07535227252885,0.07901315423417,0.08201198959741,0.08426295049064,0.08562257510106,0.08643624630951,0.08692052944294,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Arts Entertainment and Recreation (Cold),annual_region,m2,0.01970058074923,0.02030448506509,0.02114328017738,0.02204903838658,0.02095939279243,0.02265101606738,0.02322287314669,0.02364957048914,0.02390539923347,0.02405782999441,0.02414831896569,
