,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB,Region,AB,Construction,,,service_request,,,CIMS.CAN.AB.Construction,activity_data_region,tCO2e,937606.875,1061259.646,595505.691,661705.251,733305.37,733305.37,733305.37,733305.37,733305.37,733305.37,733305.37,
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,service_provide,,,,activity_data_generic,tCO2e,,,,,,,,,,,,
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.CAN.AB.Biodiesel,JCIMS,,1.8,1.8,1.9141508982703,2.08337634533833,2.1831574043583,2.84232261187302,2.73088442144286,2.63241680682958,2.5300679249112,2.52955333995074,2.52865630556284,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.5206138121793,0.63580249051724,0.86522676579303,0.92340220377578,1.09369138138417,1.19515920669733,1.28384460592477,1.35654747851981,1.41269961392618,1.42295345473989,1.44053838387329,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.CAN.AB.Electricity,CER,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.CAN.AB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.56260620544656,1.51971778837154,1.34985702126626,1.31804850467539,1.20455936498501,1.06618145538877,1.0138583317284,1.01643474615003,0.97576724256909,0.92546550127251,0.90755389401645,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.CAN.AB.Hydrogen,JCIMS,,0.99999999982763,0.99999999991568,0.99999999992788,1.00000000009596,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,CER,,1.11193356020832,1.05845533052931,0.90139906135205,0.76145457689624,0.78912039368802,0.64702230285339,0.55615607533533,0.65204987035198,0.70354047045761,0.74573627029663,0.78550603336848,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,multiplier_price,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.AB.Construction,Sector,AB,Construction,,,service_request,,,CIMS.CAN.AB.Construction.Transport,activity_data_generic,tCO2e,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Construction.Transport,Service,AB,Construction,Transport,,service_provide,,,,activity_data_generic,tCO2e,,,,,,,,,,,,
CIMS.CAN.AB.Construction.Transport,Service,AB,Construction,Transport,,competition,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Construction.Transport,Service,AB,Construction,Transport,Diesel,technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Construction.Transport,Service,AB,Construction,Transport,Diesel,market_share_total,,,,tech_data_region,%,1,,,,,,,,,,,
CIMS.CAN.AB.Construction.Transport,Service,AB,Construction,Transport,Diesel,lifetime,,,,tech_data_generic,Years,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.AB.Construction.Transport,Service,AB,Construction,Transport,Diesel,service_request,,,CIMS.CAN.AB.Fuel Blends.Diesel_Transportation,tech_multi_generic,GJ,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,
CIMS.CAN.AB.Construction.Transport,Service,AB,Construction,Transport,Electric,technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Construction.Transport,Service,AB,Construction,Transport,Electric,market_share_total,,,,tech_data_region,%,0,,,,,,,,,,,
CIMS.CAN.AB.Construction.Transport,Service,AB,Construction,Transport,Electric,lifetime,,,,tech_data_generic,Years,20,20,20,20,20,20,20,20,20,20,20,
CIMS.CAN.AB.Construction.Transport,Service,AB,Construction,Transport,Electric,service_request,,,CIMS.CAN.AB.Electricity,tech_multi_generic,GJ,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,14.2379155691607,
