,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Service provided,,,,activity_data_generic,GJ,,,,,,,,,,,,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1.20140728535252,1.46258705159767,1.87565937986037,2.065822967787,2.17233816786086,2.82226305294495,2.7005718553512,2.6016775089512,2.5050661881433,2.50363401775289,2.50387541467882,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504943978272,1.11911353386197,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.54540655115869,0.62906956112447,0.86242671714622,0.87083397821163,1.01282318222873,1.11696219807309,1.20752759368593,1.28098628127303,1.33716614892616,1.34687174288075,1.3635164504581,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.CAN.ON.Electricity,CER,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.994028726656,0.99192137073166,1.01992087393457,1.05029024706468,1.14988366440469,1.22563719168813,1.29981821446978,1.2998302908361,1.28801044993406,1.2810197414009,1.27710833827122,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.12917327936608,1.2025467881909,1.33150712374001,1.46563687919243,1.42734863041423,1.28565924491159,1.22675236911126,1.22494908539808,1.22792281128507,1.23554137917233,1.24347751839639,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Emissions_biomass,CO2,Combustion,,,tCO2,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000470021974,0.00000470021974,0.00000470021974,0.00000470021974,0.00000470021974,0.00000470021974,0.00000470021974,0.00000470021974,0.00000470021974,0.00000470021974,0.00000470021974,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000094004395,0.00000094004395,0.00000094004395,0.00000094004395,0.00000094004395,0.00000094004395,0.00000094004395,0.00000094004395,0.00000094004395,0.00000094004395,0.00000094004395,
CIMS.CAN.ON.Ethanol,Sector,ON,Ethanol,,,Service requested,,,CIMS.CAN.ON.Ethanol.Production,activity_data_generic,GJ,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Ethanol.Production,Service,ON,Ethanol,Production,,Service provided,,,,activity_data_generic,GJ,,,,,,,,,,,,
CIMS.CAN.ON.Ethanol.Production,Service,ON,Ethanol,Production,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Ethanol.Production,Service,ON,Ethanol,Production,,Discount rate_financial,,,,tech_data_generic,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.ON.Ethanol.Production,Service,ON,Ethanol,Production,,Heterogeneity,,,,tech_data_generic,,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.ON.Ethanol.Production,Service,ON,Ethanol,Production,Corn,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Ethanol.Production,Service,ON,Ethanol,Production,Corn,Market share,,,,tech_data_region,%,1,,,,,,,,,,,
