,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,service_provide,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,is_supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,lcc_financial,,,,CER,$/GJ,18.2089339778167,19.6922782703785,22.2006377439674,23.2331221452267,25.4389101701276,26.8340846370783,26.976943989445,26.8030295487694,26.7788438245837,27.0423283153343,27.279160534944,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Electricity,Sector,AT,,Electricity,,emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,service_provide,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,is_supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,lcc_financial,,,,AFDC 2023,$/GJ,33.8711713221607,33.8711713221607,37.2126816380449,36.6691828646914,42.938526137007,49.2078694093225,49.2078694093225,49.2078694093225,49.2078694093225,49.2078694093225,49.2078694093225,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,emissions_biomass,CO2,Combustion,,,tCO2,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Biodiesel,Sector,AT,,Biodiesel,,emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,service_provide,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,is_supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,lcc_financial,,,,AFDC 2023,$/GJ,18.2157010756747,26.2537591430284,36.0407624080015,33.5016040762408,37.7561804113984,42.0107567465559,42.0107567465559,42.0107567465559,42.0107567465559,42.0107567465559,42.0107567465559,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,emissions_biomass,CO2,Combustion,,,tCO2,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Ethanol,Sector,AT,,Ethanol,,emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Hydrogen,Sector,AT,,Hydrogen,,service_provide,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.AT.Hydrogen,Sector,AT,,Hydrogen,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Hydrogen,Sector,AT,,Hydrogen,,is_supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Hydrogen,Sector,AT,,Hydrogen,,lcc_financial,,,,,$/GJ,70.4225352112676,63.3802816901409,57.0422535211268,51.3380281690141,46.2042253521127,41.5838028169014,37.4254225352113,33.6828802816901,30.3145922535211,27.283133028169,24.5548197253521,Temporarily use $10.00-3.50/kg
CIMS.CAN.AT.Hydrogen,Sector,AT,,Hydrogen,,emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Hydrogen,Sector,AT,,Hydrogen,,emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Hydrogen,Sector,AT,,Hydrogen,,emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
