,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,service_provide,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,is_supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,lcc_financial,,,,CER,$/GJ,11.4868272191516,11.6683333024346,12.3358853867781,13.4184937259259,15.3831870324314,16.4743299856891,16.8795445882771,16.7497269807763,16.5665676142606,16.8334210078119,17.2476998724512,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,service_provide,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,is_supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,lcc_financial,,,,AFDC 2023,$/GJ,33.8711713221607,33.8711713221607,37.2126816380449,36.6691828646914,42.938526137007,49.2078694093225,49.2078694093225,49.2078694093225,49.2078694093225,49.2078694093225,49.2078694093225,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,emissions_biomass,CO2,Combustion,,,tCO2,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,service_provide,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,is_supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,lcc_financial,,,,AFDC 2023,$/GJ,18.2157010756747,26.2537591430284,36.0407624080015,33.5016040762408,37.7561804113984,42.0107567465559,42.0107567465559,42.0107567465559,42.0107567465559,42.0107567465559,42.0107567465559,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,emissions_biomass,CO2,Combustion,,,tCO2,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Hydrogen,Sector,MB,,Hydrogen,,service_provide,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.MB.Hydrogen,Sector,MB,,Hydrogen,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Hydrogen,Sector,MB,,Hydrogen,,is_supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Hydrogen,Sector,MB,,Hydrogen,,lcc_financial,,,,,$/GJ,70.4225352112676,63.3802816901409,57.0422535211268,51.3380281690141,46.2042253521127,41.5838028169014,37.4254225352113,33.6828802816901,30.3145922535211,27.283133028169,24.5548197253521,Temporarily use $10.00-3.50/kg
CIMS.CAN.MB.Hydrogen,Sector,MB,,Hydrogen,,emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Hydrogen,Sector,MB,,Hydrogen,,emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Hydrogen,Sector,MB,,Hydrogen,,emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
