,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK,Region,SK,Forestry,,,Service requested,,,CIMS.CAN.SK.Forestry,activity_data_region,tCO2e,39000,46000,39000,48000,53000,53000,53000,53000,53000,53000,53000,
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Service provided,,,,activity_data_generic,tCO2e,,,,,,,,,,,,
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.CAN.SK.Biodiesel,JCIMS,,1.18531070447968,1.46113190686282,1.9141508982703,2.08337634533833,2.1831574043583,2.84232261187302,2.73088442144286,2.63241680682958,2.5300679249112,2.52955333995074,2.52865630556284,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.5206138121793,0.63580249051724,0.86522676579303,0.92340220377578,1.09369138138417,1.19515920669733,1.28384460592477,1.35654747851981,1.41269961392618,1.42295345473989,1.44053838387329,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.CAN.SK.Electricity,CER,,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.CAN.SK.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.01600537757731,1.01600537757731,1.12937969303903,1.1700038420687,1.06007477314638,1.16857029995883,1.23312899103829,1.18138017230694,1.1078112969818,1.02222620339895,0.96565680121895,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.CAN.SK.Hydrogen,JCIMS,,0.99999999982763,0.99999999991568,0.99999999992788,1.00000000009596,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.05573921415618,1.05573921415618,1.10715605699094,1.32645343659563,0.80925887171053,0.90270842821186,0.85690314279768,0.83912140951455,0.84041216516461,0.84280732149356,0.84547528189866,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Use Agriculture values as proxy - TO DO: review!
CIMS.CAN.SK.Forestry,Sector,SK,Forestry,,,Service requested,,,CIMS.CAN.SK.Forestry.Transport,activity_data_generic,tCO2e,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Forestry.Transport,Service,SK,Forestry,Transport,,Service provided,,,,activity_data_generic,tCO2e,,,,,,,,,,,,
CIMS.CAN.SK.Forestry.Transport,Service,SK,Forestry,Transport,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Forestry.Transport,Service,SK,Forestry,Transport,Diesel,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Forestry.Transport,Service,SK,Forestry,Transport,Diesel,Market share,,,,tech_data_region,%,1,,,,,,,,,,,
CIMS.CAN.SK.Forestry.Transport,Service,SK,Forestry,Transport,Diesel,Lifetime,,,,tech_data_generic,Years,20,20,20,20,20,20,20,20,20,20,20,
