CIMS.CAN.BC.Metal Smelting.Methane Blend,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC,Region,BC,Metal Smelting,,,Service requested,,,CIMS.CAN.BC.Metal Smelting,activity_data_region,tonne,346613,214662,174322,132859,175199,180239,185424,190759,196247,201892,207701,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Service provided,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.CAN.BC.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504943978272,1.11911353386197,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.CAN.BC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.01600537757731,1.03317649831559,1.09856517506478,1.14101941085181,1.12388540664271,1.14964163811373,1.21041992022893,1.17780522825203,1.1062466691364,1.02686919551468,0.98463639385729,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.CAN.BC.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.05573921415618,1.03443833419078,1.11300918070919,1.42691428015674,1.0697818882423,0.88454667140555,0.8598797791916,0.83982908745364,0.84061335027723,0.84224416868784,0.84462139494312,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Metal Smelting,Sector,BC,Metal Smelting,,,Service requested,,,CIMS.CAN.BC.Metal Smelting.Primary Metals,activity_data_generic,tonne,1,1,1,1,1,1,1,1,1,1,1,
