CIMS.CAN.BC.Mining.Methane Blend,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC,Region,BC,Mining,,,service_request,,,CIMS.CAN.BC.Mining,activity_data_region,tonne,82231593.2214089,85307357.819168,71914772.2706944,82675757.4103043,95036175.537371,98440873.3559372,101967545.435044,105620561.537009,109404447.972122,113323893.207012,117383753.673952,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.CAN.BC.Biodiesel,JCIMS,,1.18531070447968,1.46113190686282,1.9141508982703,2.08337634533833,2.1831574043583,2.84232261187302,2.73088442144286,2.63241680682958,2.5300679249112,2.52955333995074,2.52865630556284,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504943978272,1.11911353386197,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.41345301693417,0.50493177808368,0.68713239695248,0.73333326558627,0.86857088815089,0.94915303467877,1.01958383196229,1.07732187369493,1.12191590721447,1.13005914375645,1.1440244705163,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.CAN.BC.Electricity,CER,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.CAN.BC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.01600537757731,1.03317649831559,1.09856517506478,1.14101941085181,1.12388540664271,1.14964163811373,1.21041992022893,1.17780522825203,1.1062466691364,1.02686919551468,0.98463639385729,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.CAN.BC.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1.12388352406703,1.06228779895008,0.68397988883653,0.59989158363245,0.79838702069166,0.82200399435029,0.831430166146,0.83861387460318,0.84335653001785,0.84335653001785,0.84335653001785,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,CER,,1.05573921415618,1.03443833419078,1.11300918070919,1.42691428015674,1.0697818882423,0.88454667140555,0.8598797791916,0.83982908745364,0.84061335027723,0.84224416868784,0.84462139494312,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,multiplier_price,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,service_request,,,CIMS.CAN.BC.Mining.Final Product,activity_data_generic,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Mining.Final Product,Service,BC,Mining,Final Product,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.BC.Mining.Final Product,Service,BC,Mining,Final Product,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Mining.Final Product,Service,BC,Mining,Final Product,,service_request,,,CIMS.CAN.BC.Mining.Final Product.Metal Open Pit,activity_data_region,tonne,0.987869387,0.987869494,0.987869494,0.987869494,0.987869494,0.987869494,0.987869494,0.987869494,0.987869494,0.987869494,0.987869494,
CIMS.CAN.BC.Mining.Final Product,Service,BC,Mining,Final Product,,service_request,,,CIMS.CAN.BC.Mining.Final Product.Metal Underground,activity_data_region,tonne,0.012130613,0.012130506,0.012130506,0.012130506,0.012130506,0.012130506,0.012130506,0.012130506,0.012130506,0.012130506,0.012130506,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit,Service,BC,Mining,Metal Open Pit,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit,Service,BC,Mining,Metal Open Pit,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit,Service,BC,Mining,Metal Open Pit,,service_request,,,CIMS.CAN.BC.Mining.Final Product.Metal Open Pit.Size Reduced Iron Product,activity_data_region,tonne,0.003209498,0.003218323,0.003218323,0.003218323,0.003218323,0.003218323,0.003218323,0.003218323,0.003218323,0.003218323,0.003218323,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit,Service,BC,Mining,Metal Open Pit,,service_request,,,CIMS.CAN.BC.Mining.Final Product.Metal Open Pit.Size Reduced Non Iron Product,activity_data_region,tonne,0.996790502,0.996781677,0.996781677,0.996781677,0.996781677,0.996781677,0.996781677,0.996781677,0.996781677,0.996781677,0.996781677,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit,Service,BC,Mining,Metal Open Pit,,service_request,,,CIMS.CAN.BC.Mining.Final Product.Metal Open Pit.Mineral Separation,activity_data_region,tonne,0.99681491,0.996044949,0.99565075,0.995435933,0.995210707,0.994974585,0.994727056,0.994727056,0.994727056,0.994727056,0.994727056,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit,Service,BC,Mining,Metal Open Pit,,service_request,,,CIMS.CAN.BC.Mining.Final Product.Metal Open Pit.Cleaning,activity_data_region,tonne,0.008082998,0.006341374,0.006303136,0.006295793,0.006288252,0.006280508,0.006272555,0.006272555,0.006272555,0.006272555,0.006272555,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit,Service,BC,Mining,Metal Open Pit,,service_request,,,CIMS.CAN.BC.Mining.Final Product.Metal Open Pit.Tailing Disposal,activity_data_region,tonne,0.988731911,0.989703575,0.989347615,0.98914014,0.988922455,0.988694077,0.988454501,0.988454501,0.988454501,0.988454501,0.988454501,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit,Service,BC,Mining,Metal Open Pit,,service_request,,,CIMS.CAN.BC.Mining.HVAC,activity_data_region,GJ,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit,Service,BC,Mining,Metal Open Pit,,service_request,,,CIMS.CAN.BC.Mining.Lighting,activity_data_region,GJ,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit.Size Reduced Iron Product,Service,BC,Mining,Size Reduced Iron Product,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.BC.Mining.Final Product.Metal Open Pit.Size Reduced Iron Product,Service,BC,Mining,Size Reduced Iron Product,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
