,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC,Region,BC,Natural Gas,,,service_request,,,CIMS.CAN.BC.Natural Gas,annual_region,1000 m3,23112500,30073200,33111700,39753500,48688800,66782346.3806505,75038182.0311379,79568307.7686631,84371921.4644822,86888871.3945998,89480905.9836981,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,service_provide,,,,constant_tech,1000 m3,,,,,,,,,,,,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,multiplier_price,,,CIMS.CAN.BC.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.41345301693417,0.50493177808368,0.68713239695248,0.73333326558627,0.86857088815089,0.94915303467877,1.01958383196229,1.07732187369493,1.12191590721447,1.13005914375645,1.1440244705163,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,multiplier_price,,,CIMS.CAN.BC.Electricity,CER,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,multiplier_price,,,CIMS.CAN.BC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.01600537757731,1.03317649831559,1.09856517506478,1.14101941085181,1.12388540664271,1.14964163811373,1.21041992022893,1.17780522825203,1.1062466691364,1.02686919551468,0.98463639385729,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
