,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK,Region,SK,Natural Gas,,,Service requested,,,CIMS.CAN.SK.Natural Gas,annual_region,1000 m3,8070900,9409300,6700300,5779800,4461100,3951412.34689695,4167897.88819576,4055395.61239031,3945930.06214794,3855932.0084102,3767986.61388056,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Service provided,,,,constant_tech,1000 m3,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.CAN.SK.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.44102065922598,0.51474462579061,0.7067725739949,0.72108643300882,0.83694276135222,0.9220396695699,0.99586419799345,1.05595892852088,1.10194114572587,1.10993939884563,1.1236560848033,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.CAN.SK.Electricity,CER,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.CAN.SK.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.00398172643318,1.00770540846205,0.98543751863212,0.94747956925584,0.94097280286954,0.9099685360173,0.85974547700378,0.85752824132152,0.87125772534436,0.88717016090188,0.89691579876092,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.CAN.SK.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,0.63993044524451,0.720980621653,0.79985634660135,0.90352294300966,1.19343520811206,1.1608730190652,1.12441572399752,1.12532494240017,1.12718164522093,1.1326100300523,1.13865716271622,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas,Sector,SK,Natural Gas,,,Service requested,,,CIMS.CAN.SK.Natural Gas.Production,annual_tech,1000 m3,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas.Production,Service,SK,Natural Gas,Production,,Service provided,,,,constant_tech,1000 m3,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production,Service,SK,Natural Gas,Production,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production,Sector,SK,Natural Gas,,,Service requested,,,CIMS.CAN.Natural Gas Market,annual_tech,1000 m3,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas.Production,Sector,SK,Natural Gas,,,Aggregation requested,,,CIMS.CAN.SK.Natural Gas.Production.Supply,,,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production,Sector,SK,Natural Gas,,,Aggregation requested,,,CIMS.CAN.SK.Natural Gas.Production.Transmission,,,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production,Sector,SK,Natural Gas,,,Aggregation requested,,,CIMS.CAN.SK.Natural Gas.Production.Distribution,,,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production.Supply,Service,SK,Natural Gas,Natural Gas Supply,,Service provided,,,,constant_tech,1000 m3,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production.Supply,Service,SK,Natural Gas,Natural Gas Supply,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production.Supply,Service,SK,Natural Gas,Natural Gas Supply,,Service requested,,,CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction,annual_region,1000 m3,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Natural Gas.Production.Supply,Service,SK,Natural Gas,Natural Gas Supply,,Service requested,,,CIMS.CAN.SK.Natural Gas.Production.Supply.Processing,annual_region,1000 m3,0.57175524911649,0.57175524911649,0.57175524911649,0.56240700370255,0.62374750622044,0.6076525336091,0.6076525336091,0.6076525336091,0.6076525336091,0.6076525336091,0.6076525336091,
CIMS.CAN.SK.Natural Gas.Production.Supply,Service,SK,Natural Gas,Natural Gas Supply,,Service requested,,,CIMS.CAN.SK.Natural Gas.Production.Supply.LNG Compression,annual_region,1000 m3,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction,Service,SK,Natural Gas,Extraction,,Service provided,,,,constant_tech,1000 m3,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction,Service,SK,Natural Gas,Extraction,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction,Service,SK,Natural Gas,Extraction,,Service requested,,,CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction.Conventional,annual_region,1000 m3,0.43440361911067,0.44238975817923,0.58390091806234,0.7041263773223,0.77174445622597,0.82206018985671,0.86641015692426,0.89417215094677,0.91520274341526,0.93224438677141,0.94609015210315,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction,Service,SK,Natural Gas,Extraction,,Service requested,,,CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction.Shale,annual_region,1000 m3,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction,Service,SK,Natural Gas,Extraction,,Service requested,,,CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction.Tight,annual_region,1000 m3,0.56559638088933,0.55761024182077,0.41609908193766,0.2958736226777,0.22825554377403,0.17793981014329,0.13358984307574,0.10582784905323,0.08479725658474,0.06775561322859,0.05390984789686,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction,Service,SK,Natural Gas,Extraction,,Service requested,,,CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction.Coalbed Methane,annual_region,1000 m3,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction.Conventional,Service,SK,Natural Gas,Conventional,,Service provided,,,,constant_tech,1000 m3,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction.Conventional,Service,SK,Natural Gas,Conventional,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction.Conventional,Service,SK,Natural Gas,Conventional,,Discount rate_financial,,,,constant_tech,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction.Conventional,Service,SK,Natural Gas,Conventional,,Heterogeneity,,,,constant_tech,,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.SK.Natural Gas.Production.Supply.Extraction.Conventional,Service,SK,Natural Gas,Conventional,Raw NG,Technology,,,,,,,,,,,,,,,,,
