,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB,Region,MB,Petroleum Crude,,,service_request,,,CIMS.CAN.MB.Petroleum Crude,annual_region,m3,619427.909264924,804272.075460829,1738744.90398745,2686953.58543587,2202194.05260629,2267403.46562895,2349900.45477021,2435399.0064126,2479387.00638478,2524169.51441764,2569760.88085806,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,,,,service_provide,,,,constant_tech,m3,,,,,,,,,,,,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,multiplier_price,,,CIMS.CAN.MB.Biodiesel,JCIMS (AB proxy),,1.1868954198497,1.46896071959919,1.88025801939506,2.09921338494669,2.20311153995812,2.90539124005309,2.78293010417393,2.6695270748049,2.55911131743919,2.56003452802532,2.56125934861561,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.44023105136587,0.51351796820521,0.72711787323299,0.72985876620818,0.84861045949344,0.93902964907881,1.01743735299532,1.0821837646406,1.1289315059967,1.13712566407388,1.15117831924113,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,multiplier_price,,,CIMS.CAN.MB.Electricity,CER,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,multiplier_price,,,CIMS.CAN.MB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
