,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Petroleum Crude,,,service_request,,,CIMS.CAN.ON.Petroleum Crude,annual_region,m3,230597.687163268,140346.301849718,85151.4270966782,57191.9770865335,29097.5408324064,27084.4805102911,23193.2062746246,19860.9981495822,18390.0280010169,17028.0026880371,15766.8534016243,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,,,,service_provide,,,,constant_tech,m3,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.CAN.ON.Biodiesel,JCIMS (AB proxy),,1.1868954198497,1.46896071959919,1.88025801939506,2.09921338494669,2.20311153995812,2.90539124005309,2.78293010417393,2.6695270748049,2.55911131743919,2.56003452802532,2.56125934861561,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.44522272464778,0.51351796820521,0.70401056239818,0.71087352301062,0.82678122552861,0.91179130888361,0.98572106295035,1.04568638050493,1.09154676427505,1.09946957153802,1.11305687085228,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.CAN.ON.Electricity,CER,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.994028726656,0.99192137073166,1.01992087393457,1.05029024706468,1.14988366440469,1.22563719168813,1.29981821446978,1.2998302908361,1.28801044993406,1.2810197414009,1.27710833827122,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,JCIMS,,0.70462713523352,0.6694838957302,0.44397497376705,0.50840514433597,0.60058141463574,0.65279221120098,0.68856983719817,0.72815479957605,0.76575737250239,0.7745075339547,0.78714858598409,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,CER,,1.12917327936608,1.2025467881909,1.33150712374001,1.46563687919243,1.42734863041423,1.28565924491159,1.22675236911126,1.22494908539808,1.22792281128507,1.23554137917233,1.24347751839639,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,multiplier_price,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude,Sector,ON,Petroleum Crude,,,service_request,,,CIMS.CAN.ON.Petroleum Crude.Production,annual_tech,m3,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude.Production,Service,ON,Petroleum Crude,Production,,service_provide,,,,constant_tech,m3,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production,Service,ON,Petroleum Crude,Production,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production,Service,ON,Petroleum Crude,Production,,service_request,,,CIMS.CAN.ON.Petroleum Crude.Production.Exploration,annual_region,Wells,0.0012315821702,0.00239407804532,0.00403986182885,0.00611973947798,0.0120972422387,0.01169958382348,0.01169958382348,0.01169958382348,0.01169958382348,0.01169958382348,0.01169958382348,
CIMS.CAN.ON.Petroleum Crude.Production,Service,ON,Petroleum Crude,Production,,service_request,,,CIMS.CAN.ON.Petroleum Crude.Production.Light Medium,annual_region,m3,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,,service_provide,,,,constant_tech,Wells,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,,competition,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,,discount_rate_financial,,,,constant_tech,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,,heterogeneity,,,,constant_tech,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing,technology,,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing,available,,,,constant_tech,Year,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing,unavailable,,,,constant_tech,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing,lifetime,,,,constant_tech,Years,38,38,38,38,38,38,38,38,38,38,38,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing,market_share_total,,,,annual_tech,%,1,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing,fcc,,,,constant_tech,$,312.634000256075,312.634000256075,312.634000256075,312.634000256075,312.634000256075,312.634000256075,312.634000256075,312.634000256075,312.634000256075,312.634000256075,312.634000256075,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing,service_request,,,CIMS.CAN.ON.Petroleum Crude.Industrial Engines,annual_tech,GJ,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing,emissions,CO2,Process,,annual_tech,tCO2,0.008563133,0.008563133,0.008563133,0.008563133,0.008563133,0.008563133,0.008563133,0.008563133,0.008563133,0.008563133,0.008563133,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing ELDAR,technology,,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing ELDAR,available,,,,constant_tech,Year,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing ELDAR,unavailable,,,,constant_tech,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing ELDAR,lifetime,,,,constant_tech,Years,38,38,38,38,38,38,38,38,38,38,38,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing ELDAR,market_share_total,,,,annual_tech,%,0,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing ELDAR,fcc,,,,constant_tech,$,437.687600358505,437.687600358505,437.687600358505,437.687600358505,437.687600358505,437.687600358505,437.687600358505,437.687600358505,437.687600358505,437.687600358505,437.687600358505,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing ELDAR,service_request,,,CIMS.CAN.ON.Petroleum Crude.Industrial Engines,annual_tech,GJ,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,0.075058115,
CIMS.CAN.ON.Petroleum Crude.Production.Exploration,Service,ON,Petroleum Crude,Exploration,Drilling testing servicing ELDAR,emissions,CO2,Process,,annual_tech,tCO2,0.004281566,0.004281566,0.004281566,0.004281566,0.004281566,0.004281566,0.004281566,0.004281566,0.004281566,0.004281566,0.004281566,
CIMS.CAN.ON.Petroleum Crude.Production.Light Medium,Service,ON,Petroleum Crude,Light Medium,,service_provide,,,,constant_tech,m3,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production.Light Medium,Service,ON,Petroleum Crude,Light Medium,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production.Light Medium,Service,ON,Petroleum Crude,Light Medium,,service_request,,,CIMS.CAN.ON.Petroleum Crude.Production.Light Medium.Onshore,annual_region,m3,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Crude.Production.Light Medium,Service,ON,Petroleum Crude,Light Medium,,service_request,,,CIMS.CAN.ON.Petroleum Crude.Production.Light Medium.Offshore,annual_region,m3,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.ON.Petroleum Crude.Production.Light Medium.Onshore,Service,ON,Petroleum Crude,Onshore,,service_provide,,,,constant_tech,m3,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Crude.Production.Light Medium.Onshore,Service,ON,Petroleum Crude,Onshore,,competition,Tech Compete,,,,,,,,,,,,,,,,
