,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK,Region,SK,Petroleum Refining,,,service_request,,,CIMS.CAN.SK.Petroleum Refining,activity_data_region,m3 of RPP,4592384.1,5722946.1161854,7131832.08015235,7311919.77727555,7496554.91442407,7685852.32015708,7309169.08147021,6950947.06951489,6610281.50049022,6286311.93400424,5978220.09980566,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,service_provide,,,,activity_data_generic,m3 of RPP,,,,,,,,,,,,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,multiplier_price,,,CIMS.CAN.SK.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,multiplier_price,,,CIMS.CAN.SK.Electricity,CER,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,multiplier_price,,,CIMS.CAN.SK.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
