,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB,Region,AB,Pulp and Paper,,,service_request,,,CIMS.CAN.AB.Pulp and Paper,activity_data_region,tonne,347501.74665333,320919.005937054,313833.031545122,379378.295252745,394804.222787943,386464.269707623,394863.936055821,405427.497492367,415991.058928913,426554.620365458,437118.181802004,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.CAN.AB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504943978272,1.11911353386197,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.CAN.AB.Electricity,CER,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.CAN.AB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.00037889488304,1.00623128295345,0.98990490414837,0.95448255052012,0.89969127736964,0.83772972941534,0.76463515286447,0.76205193766071,0.78042605378448,0.80039623533836,0.81253967962788,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.CAN.AB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,CER,,0.98296466686255,0.95795224930239,0.92160578825353,0.82491294601289,0.87667465336115,0.95254125109808,0.97807374043867,0.98307895805614,0.9777937427419,0.97409507848884,0.97350353905278,
