,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC,Region,BC,Residential,,,Service requested,,,CIMS.CAN.BC.Residential,annual_region,household,1609594,1716416,1867194,1977270,2138439,2242623.33489448,2351883.5104547,2466466.82065716,2586632.60759308,2712652.8484503,2844812.77109266,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Service provided,,,,constant_tech,household,,,,,,,,,,,,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.CAN.BC.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.33888366019702,0.66997710488302,1.13720271610886,1.40231909598565,1.61473684939718,1.76093578020226,1.89626465891676,2.01426370370264,2.08455045796572,2.09968081430859,2.12562877360365,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.CAN.BC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.95932689837856,1.83503838345141,1.66350663226884,1.68892217736961,1.56187100446885,1.42251533433306,1.37244908459554,1.40937825244241,1.42739380666533,1.44067717023264,1.45407737780417,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.CAN.BC.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.6334442487902,1.80580791918811,2.69947138470346,3.36938557693959,2.35315960752825,1.68545681963796,1.28060433458765,1.3298202277657,1.41131396209781,1.49237180470826,1.56057114128785,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,8.15869115664895,10,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings,annual_tech,building,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service provided,,,,constant_tech,building,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Building Type,annual_tech,building,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Refrigerators,annual_region,unit,1.21,1.25,1.276,1.291,1.302,1.313093726,1.324281976,1.335565556,1.346945278,1.346945278,1.346945278,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Freezers,annual_region,unit,0.558631633,0.561922604,0.55645356,0.552158226,0.54862077,0.54862077,0.54862077,0.54862077,0.54862077,0.54862077,0.54862077,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Ranges,annual_region,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Dishwashing,annual_region,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Clothes Washing,annual_region,unit,0.79526211,0.812511777,0.835002242,0.854247257,0.870577934,0.885078861,0.897955051,0.909388545,0.919540988,0.919540988,0.919540988,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Minor Appliances,annual_region,unit,0.85,1,1,1.263417863,1.596224698,2.016698797,2.547933285,3.219104427,4.067074037,4.067074037,4.067074037,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Non-appliance Hot Water,annual_region,unit,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,,Service provided,,,,constant_tech,building,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,,Retirement intercept,,,,constant_tech,,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Apartment,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Apartment,Market share,,,,annual_region_tech,%,0.31903511071736,0.32547121443753,0.33868039421721,0.34945404522397,0.36897054346652,0.37553978366975,0.38780447201653,0.39794235571905,0.40534059926132,0.41080137213337,0.41487030392203,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Apartment,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Building Type.High Density,annual_region_tech,m2,81.241711569432,83.2390574319245,86.2405950833515,89.1087102819969,92.5742153884371,94.9524118088145,97.8119218503023,100.309601667627,102.287087639315,103.844637926738,105.066520180434,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Detached,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Detached,Market share,,,,annual_region_tech,%,0.53919621966782,0.52789300495917,0.50851866490574,0.49408072746767,0.47214860933606,0.45879271655944,0.4418444118552,0.42757378808508,0.41685644956911,0.40875292104807,0.4025935626945,
