,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB,Region,MB,Residential,,,Service requested,,,CIMS.CAN.MB.Residential,annual_region,household,448946,467279,492655,520201,549182,570497.632139109,592640.596881052,615643.005834401,639538.216969109,664360.882992058,690147.001600228,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Service provided,,,,constant_tech,household,,,,,,,,,,,,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.CAN.MB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.38922817434577,0.61275097987025,1.03029113152423,1.15752940059997,1.32086755315264,1.45128533447694,1.57046269207327,1.67252746504728,1.73583622228292,1.74843549542387,1.77004274770533,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.CAN.MB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.7909250699696,1.70500073751207,1.51919170727263,1.4607953227453,1.35758573490404,1.24491723073408,1.20459159425678,1.24798589990997,1.27415408894958,1.29916559574568,1.3213136510509,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
