CIMS.CAN.ON.Residential.Dwellings.Building Type.High Density.Vintage.<1960 Bldg Code,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Residential,,,service_request,,,CIMS.CAN.ON.Residential,annual_region,household,4467553,4845367,5153651,5443987,5835796,6095790.85670395,6367368.93624717,6651046.29134333,6947361.96575161,7256879.01856772,7580185.59414891,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,service_provide,,,,constant_tech,household,,,,,,,,,,,,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.30269967326154,0.62906956112447,1.08594546041871,1.34916115697844,1.52563876261694,1.66962887004887,1.80226221278474,1.91662224583048,1.98620174077157,2.00061824961254,2.02534198883621,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.CAN.ON.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.72586216086029,1.66254477745438,1.57764193300465,1.64837260708554,1.61494865334457,1.49123292920706,1.44622884629304,1.48953605169044,1.51825776873685,1.54802471608931,1.57367538500994,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,CER,,1.73081503432979,1.8408230001673,2.26638855194528,2.66255050315912,2.03875507500197,1.48922648605188,1.19391104341263,1.27472289343114,1.34831831160309,1.41982124817508,1.48120323306439,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,8.15869115664895,10,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,multiplier_price,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,service_request,,,CIMS.CAN.ON.Residential.Dwellings,annual_tech,building,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,service_provide,,,,constant_tech,building,,,,,,,,,,,,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,service_request,,,CIMS.CAN.ON.Residential.Dwellings.Building Type,annual_tech,building,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,service_request,,,CIMS.CAN.ON.Residential.Dwellings.Refrigerators,annual_region,unit,1.251728,1.273339,1.307176132,1.330824561,1.354256124,1.377450828,1.400389546,1.423054075,1.445427183,1.445427183,1.445427183,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,service_request,,,CIMS.CAN.ON.Residential.Dwellings.Freezers,annual_region,unit,0.571757,0.534712,0.520323588,0.504664734,0.489153124,0.473807609,0.458646185,0.443685924,0.428942905,0.428942905,0.428942905,
