,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT,Region,AT,Agriculture,,,Service requested,,,CIMS.CAN.AT.Agriculture,,tCO2e,748087.2,708234.095528334,644558.05877609,640823.301262522,632974.031067873,619863.008827823,600450.310067902,574561.838805805,543426.898733393,543426.898733393,543426.898733393,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Service provided,,,,,tCO2e,,,,,,,,,,,,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.CAN.AT.Biodiesel,JCIMS,,1.18592929652273,1.46417075742694,1.89185823192972,2.06650575664782,2.17459004521625,2.81953641343174,2.70283323598518,2.60320210994221,2.50726630616592,2.50562992999125,2.50554222939722,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.54390059307639,0.63580249051724,0.83946871684308,0.87537746637867,1.01076123145751,1.10836119595314,1.19281456850603,1.26324909947537,1.31448594550656,1.32402691904702,1.34038930916217,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.CAN.AT.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.00384190278173,0.99646288550502,0.98699101901943,0.96385466582835,0.9536059657598,0.91278192103617,0.8772822357015,0.87513862673514,0.88476647517012,0.89501420276445,0.90018147729967,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.CAN.AT.Hydrogen,JCIMS,,0.99999999982763,0.99999999991568,0.99999999992788,1.00000000009596,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.24940890038859,1.2816526495917,1.35994008939995,1.31264190533251,1.11333005919353,1.00702147268017,0.93906734216933,0.94226096490713,0.95310862495077,0.96725759607783,0.97859564345867,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture,Sector,AT,Agriculture,,,Service requested,,,CIMS.CAN.AT.Agriculture.Process,,tCO2e,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Agriculture.Process,Service,AT,Agriculture,Process,,Service provided,,,,,tCO2e,,,,,,,,,,,,
CIMS.CAN.AT.Agriculture.Process,Service,AT,Agriculture,Process,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
