,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC.Biodiesel,Sector,BC,,,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel,Sector,BC,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel,Sector,BC,,,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.CAN.BC.Biodiesel,JCIMS,,1.185310704,1.461131907,1.914150898,2.083376345,2.183157404,2.842322612,2.730884421,2.632416807,2.530067925,2.52955334,2.528656306,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,0.96578665,1.119113534,1.438843537,1.539562584,1.539562584,1.539562584,1.539562584,1.539562584,1.539562584,1.539562584,1.539562584,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.548596992,0.669977103,0.911733016,0.973035405,1.152477687,1.259399445,1.352851716,1.429462394,1.488632727,1.499437716,1.517967841,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.CAN.BC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.016005378,1.016005378,1.129379693,1.170003842,1.060074773,1.1685703,1.233128991,1.181380172,1.107811297,1.022226203,0.965656801,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.CAN.BC.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.055739214,1.055739214,1.107156057,1.326453437,0.809258872,0.902708428,0.856903143,0.83912141,0.840412165,0.842807321,0.845475282,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Emissions_biomass,CO2,Combustion,,,tCO2,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,3.99131E-06,3.99131E-06,3.99131E-06,3.99131E-06,3.99131E-06,3.99131E-06,3.99131E-06,3.99131E-06,3.99131E-06,3.99131E-06,3.99131E-06,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,1.20039E-05,1.20039E-05,1.20039E-05,1.20039E-05,1.20039E-05,1.20039E-05,1.20039E-05,1.20039E-05,1.20039E-05,1.20039E-05,1.20039E-05,
CIMS.CAN.BC.Biodiesel,Sector,BC,Biodiesel,,,Service requested,,,CIMS.CAN.BC.Biodiesel.Production,,GJ,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,,Discount rate_financial,,,,,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,,Heterogeneity,,,,,,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,Available,,,,,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,Output,,,,,GJ,5617551,5617551,5617551,5617551,5617551,5617551,5617551,5617551,5617551,5617551,5617551,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,FCC,,,,,$,110645808,110645808,110645808,110645808,110645808,110645808,110645808,110645808,110645808,110645808,110645808,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,FOM,,,,,$,26597062.88,26597062.88,26597062.88,26597062.88,26597062.88,26597062.88,26597062.88,26597062.88,26597062.88,26597062.88,26597062.88,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,Service requested,,,CIMS.CAN.BC.Electricity,,GJ,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,Service requested,,,CIMS.CAN.BC.Biodiesel.Agricultural Input,,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel.Production,Service,BC,Biodiesel,Production,Biodiesel Production,Service requested,,,CIMS.CAN.BC.Biodiesel.Steam,,GJ,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,,Service provided,,,,,unit,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,,Discount rate_financial,,,,,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Available,,,,,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Lifetime,,,,,Years,12,12,12,12,12,12,12,12,12,12,12,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Output,,,,,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel,FCC,,,,,$,12.07560553,12.07560553,12.07560553,12.07560553,12.07560553,12.07560553,12.07560553,12.07560553,12.07560553,12.07560553,12.07560553,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel,FOM,,,,,$,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Service requested,,,CIMS.Generic Fuels.Diesel,,GJ,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Available,,,,,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Lifetime,,,,,Years,12,12,12,12,12,12,12,12,12,12,12,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Output,,,,,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,FCC,,,,,$,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,FOM,,,,,$,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Service requested,,,CIMS.Generic Fuels.Diesel,,GJ,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Available,,,,,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Lifetime,,,,,Years,12,12,12,12,12,12,12,12,12,12,12,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Output,,,,,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,FCC,,,,,$,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,15.5641138,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,FOM,,,,,$,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,10.13613719,
CIMS.CAN.BC.Biodiesel.Agricultural Input,Service,BC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Service requested,,,CIMS.CAN.BC.Biodiesel,,GJ,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,,Discount rate_financial,,,,,%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Electric,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Electric,Available,,,,,Year,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Electric,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Electric,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Electric,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Electric,Output,,,,,GJ,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Electric,FCC,,,,,$,4259802.379,4259802.379,4259802.379,4259802.379,4259802.379,4259802.379,4259802.379,4259802.379,4259802.379,4259802.379,4259802.379,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Electric,FOM,,,,,$,170392.0952,170392.0952,170392.0952,170392.0952,170392.0952,170392.0952,170392.0952,170392.0952,170392.0952,170392.0952,170392.0952,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Electric,Service requested,,,CIMS.CAN.BC.Electricity,,GJ,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG,Available,,,,,Year,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG,Output,,,,,GJ,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG,FCC,,,,,$,3684950.537,3684950.537,3684950.537,3684950.537,3684950.537,3684950.537,3684950.537,3684950.537,3684950.537,3684950.537,3684950.537,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG,FOM,,,,,$,147398.0215,147398.0215,147398.0215,147398.0215,147398.0215,147398.0215,147398.0215,147398.0215,147398.0215,147398.0215,147398.0215,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG,Service requested,,,CIMS.Generic Fuels.Natural Gas,,GJ,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal,Available,,,,,Year,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal,Output,,,,,GJ,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal,FCC,,,,,$,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal,FOM,,,,,$,442194.0644,442194.0644,442194.0644,442194.0644,442194.0644,442194.0644,442194.0644,442194.0644,442194.0644,442194.0644,442194.0644,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal,Service requested,,,CIMS.Generic Fuels.Coal,,GJ,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal CCS,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal CCS,Available,,,,,Year,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal CCS,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal CCS,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal CCS,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal CCS,Output,,,,,GJ,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal CCS,FCC,,,,,$,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,11054851.61,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal CCS,FOM,,,,,$,967905.5339,967905.5339,967905.5339,967905.5339,967905.5339,967905.5339,967905.5339,967905.5339,967905.5339,967905.5339,967905.5339,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal CCS,Service requested,,,CIMS.Generic Fuels.Coal,,GJ,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,1.226091954,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,Coal CCS,Service requested,,,CIMS.CAN.BC.Biodiesel.CCS,,tCO2,0.099827864,0.099827864,0.099827864,0.099827864,0.099827864,0.099827864,0.099827864,0.099827864,0.099827864,0.099827864,0.099827864,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG IA CCS,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG IA CCS,Available,,,,,Year,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG IA CCS,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG IA CCS,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG IA CCS,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG IA CCS,Output,,,,,GJ,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG IA CCS,FCC,,,,,$,5527425.805,5527425.805,5527425.805,5527425.805,5527425.805,5527425.805,5527425.805,5527425.805,5527425.805,5527425.805,5527425.805,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG IA CCS,FOM,,,,,$,445376.2417,445376.2417,445376.2417,445376.2417,445376.2417,445376.2417,445376.2417,445376.2417,445376.2417,445376.2417,445376.2417,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG IA CCS,Service requested,,,CIMS.CAN.BC.Electricity,,GJ,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,1.254941176,
CIMS.CAN.BC.Biodiesel.Steam,Service,BC,Biodiesel,Steam,NG IA CCS,Service requested,,,CIMS.CAN.BC.Biodiesel.CCS,,tCO2,0.06145512,0.06145512,0.06145512,0.06145512,0.06145512,0.06145512,0.06145512,0.06145512,0.06145512,0.06145512,0.06145512,
