CIMS.CAN.SK.Petroleum Refining.Still Gas.Steam,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK,Region,SK,Coal Mining,,,Service requested,,,CIMS.CAN.SK.Coal Mining,Statistics Canada 25-10-0046,kt,11200,11000,10300,8700,6500,6400,0,0,0,0,0,
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Service provided,,,,,kt,,,,,,,,,,,,
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Price multiplier,,,CIMS.CAN.SK.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.44102065922598,0.51474462579061,0.7067725739949,0.72108643300882,0.83694276135222,0.9220396695699,0.99586419799345,1.05595892852088,1.10194114572587,1.10993939884563,1.1236560848033,
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Price multiplier,,,CIMS.CAN.SK.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Price multiplier,,,CIMS.CAN.SK.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
