,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB,Region,AB,Commercial,,,Service requested,,,CIMS.CAN.AB.Commercial,,m2,86806200,94468800,105037321,116930540.4,131200624.7,145980262.5,160910804.8,170984067.6,181057330.4,191130593.2,201203856,
CIMS.CAN.AB.Commercial,Sector,AB,,,,Service provided,,,,,m2,,,,,,,,,,,,
CIMS.CAN.AB.Commercial,Sector,AB,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,Price multiplier,,,CIMS.CAN.AB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,Price multiplier,,,CIMS.CAN.AB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Commercial,Sector,AB,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.025242519,1.025242519,1.013805151,0.967476065,0.920185508,0.938901857,0.946627752,0.925712137,0.893039418,0.854501536,0.827041391,
