,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Commercial,,,Service requested,,,CIMS.CAN.ON.Commercial,,M*m2,227.2,249.4,272.3,287.4,297.8,308.6,319.7,331.3,343.3,355.7,368.6,
CIMS.CAN.ON.Commercial,Sector,ON,,,,Service provided,,,,,M*m2,,,,,,,,,,,,
CIMS.CAN.ON.Commercial,Sector,ON,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.CAN.ON.Electricity,CER,,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,TODO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.984657788,0.984657788,1.016108073,1.10513565,1.163231097,1.162806689,1.184116947,1.20368915,1.236952032,1.280209798,1.31175057,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.031562751,1.031562751,1.055726152,1.083330023,1.015477618,1.007503918,1.021571064,1.023168242,1.022232061,1.024107062,1.025441824,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial,Sector,ON,Commercial,,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings,,m2,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service provided,,,,,m2,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell,,m2,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Lighting,,m2,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,0.653800099,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Refrigeration,,unit,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,0.049405493,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Cooking,,unit,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,0.048147933,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Hot Water,,unit,1.502861907,1.518649168,1.53460227,1.550722956,1.567012987,1.583474142,1.600108217,1.61691703,1.61691703,1.61691703,1.61691703,
CIMS.CAN.ON.Commercial.Buildings,Service,ON,Commercial,Buildings,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Plug Load,,unit,6.175686604,8.704433371,10.64871897,12.28915257,13.73504009,15.0425856,16.24522812,17.36477734,18.41639344,18.41639344,18.41639344,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service provided,,,,,m2,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,,m2,0.062782154,0.059089305,0.056577218,0.0542333,0.052171166,0.050342886,0.048710813,0.047244972,0.045921196,0.045921196,0.045921196,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Retail,,m2,0.153625502,0.152987461,0.150405483,0.149099699,0.147950897,0.146932372,0.146023154,0.145206542,0.144469074,0.144469074,0.144469074,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Transportation and Warehousing,,m2,0.054039225,0.04792549,0.04400829,0.040178908,0.036809895,0.033822938,0.031156537,0.028761716,0.026598994,0.026598994,0.026598994,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Information and Cultural,,m2,0.022409292,0.022529135,0.023537502,0.024110663,0.02461492,0.025061992,0.025461085,0.025819529,0.026143234,0.026143234,0.026143234,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Offices,,m2,0.430888598,0.437124061,0.447670201,0.45517204,0.461772008,0.467623519,0.472847056,0.477538561,0.481775378,0.481775378,0.481775378,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Educational,,m2,0.123981336,0.126632154,0.12484128,0.124493161,0.124186892,0.123915356,0.12367296,0.123455253,0.123258646,0.123258646,0.123258646,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Healthcare and Social Assistance,,m2,0.063562624,0.06661039,0.065881719,0.066176831,0.066436465,0.066666655,0.066872142,0.067056699,0.06722337,0.06722337,0.06722337,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Arts Entertainment and Recreation,,m2,0.019955067,0.019989058,0.02115151,0.021775316,0.022324128,0.022810703,0.023245059,0.023635175,0.023987483,0.023987483,0.023987483,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Accommodation and Food services,,m2,0.045680141,0.045526305,0.044859505,0.044433073,0.044057907,0.043725287,0.043428362,0.04316168,0.042920844,0.042920844,0.042920844,
CIMS.CAN.ON.Commercial.Buildings.Shell,Service,ON,Commercial,Shell,,Service requested,,,CIMS.CAN.ON.Commercial.Buildings.Shell.Other Services,,m2,0.023076062,0.021586641,0.021067294,0.02032701,0.019675722,0.019098293,0.018582832,0.018119873,0.017701782,0.017701782,0.017701782,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,,Service provided,,,,,m2,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,,Discount rate_financial,,,,,%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,,Discount rate_retrofit,,,,,%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,Std,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,Std,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,Std,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,Std,Lifetime,,,,,Years,60,60,60,60,60,60,60,60,60,60,60,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,Std,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,Std,Output,,,,,m2,0.689675631,0.689675631,0.689675631,0.689675631,0.689675631,0.689675631,0.689675631,0.689675631,0.689675631,0.689675631,0.689675631,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,Std,FCC,,,,,$,128.0373832,128.0373832,128.0373832,128.0373832,128.0373832,128.0373832,128.0373832,128.0373832,128.0373832,128.0373832,128.0373832,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,Std,Capital recovery,,,,,Years,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,Std,FOM,,,,,$,0.038411215,0.038411215,0.038411215,0.038411215,0.038411215,0.038411215,0.038411215,0.038411215,0.038411215,0.038411215,0.038411215,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,Std,Service requested,,,CIMS.CAN.ON.Commercial.HVAC,,GJ,0.96137632,0.96137632,0.96137632,0.96137632,0.96137632,0.96137632,0.96137632,0.96137632,0.96137632,0.96137632,0.96137632,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,LEED,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Commercial.Buildings.Shell.Wholesale,Service,ON,Commercial,Wholesale,LEED,Available,,,,,Year,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,
