,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC,Region,QC,Commercial,,,Service requested,,,CIMS.CAN.QC.Commercial,,m2,116030700,124920997,135244640.5,145923229,159386900.4,173457207.5,187691307.1,197146757,206602207,216057657,225513106.9,
CIMS.CAN.QC.Commercial,Sector,QC,,,,Service provided,,,,,m2,,,,,,,,,,,,
CIMS.CAN.QC.Commercial,Sector,QC,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Commercial,Sector,QC,Commercial,,,Price multiplier,,,CIMS.CAN.QC.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Commercial,Sector,QC,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Commercial,Sector,QC,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Commercial,Sector,QC,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Commercial,Sector,QC,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Commercial,Sector,QC,Commercial,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Commercial,Sector,QC,Commercial,,,Price multiplier,,,CIMS.CAN.QC.Electricity,CER,,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.QC.Commercial,Sector,QC,Commercial,,,Price multiplier,,,CIMS.CAN.QC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
