,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB.Electricity,Sector,MB,,,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.MB.Electricity,Sector,MB,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Electricity,Sector,MB,,,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Price multiplier,,,CIMS.CAN.MB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.449694999,0.524557415,0.742749222,0.745549038,0.866853618,0.95921661,1.039309898,1.105448208,1.153200917,1.161571231,1.175925985,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Price multiplier,,,CIMS.CAN.MB.Electricity,,,1,1,1,1,1,1,1,1,1,1,1,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Price multiplier,,,CIMS.CAN.MB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.98609333,0.98609333,1.061359202,1.116415654,1.209473917,1.29484405,1.368392771,1.347461708,1.331705118,1.314005379,1.278323284,
