,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC.Ethanol,Sector,QC,,,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol,Sector,QC,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol,Sector,QC,,,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.CAN.QC.Biodiesel,JCIMS,,1.193504822,1.46465321,1.906704878,2.065422609,2.136787865,2.766198184,2.63835268,2.518792341,2.42714024,2.437873955,2.449429117,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504944,1.119113534,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.589288702,0.68638247,0.890027354,0.933786737,1.217345358,1.37632886,1.536458703,1.704117141,1.766373947,1.779194873,1.801182251,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.CAN.QC.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.CAN.QC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.992089997,0.992089997,0.910872008,1.028167923,0.985915014,1.106924637,1.186458656,1.163275706,1.147152756,1.129047951,1.095241527,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.CAN.QC.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.358301534,1.358301534,1.484039734,1.822056353,1.173760946,1.061816689,1.031044815,1.038015471,1.039071434,1.043559568,1.05190638,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Emissions_biomass,CO2,Combustion,,,tCO2,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,4.70022E-06,4.70022E-06,4.70022E-06,4.70022E-06,4.70022E-06,4.70022E-06,4.70022E-06,4.70022E-06,4.70022E-06,4.70022E-06,4.70022E-06,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,9.40044E-07,9.40044E-07,9.40044E-07,9.40044E-07,9.40044E-07,9.40044E-07,9.40044E-07,9.40044E-07,9.40044E-07,9.40044E-07,9.40044E-07,
CIMS.CAN.QC.Ethanol,Sector,QC,Ethanol,,,Service requested,,,CIMS.CAN.QC.Ethanol.Production,,GJ,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol.Production,Service,QC,Ethanol,Production,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol.Production,Service,QC,Ethanol,Production,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol.Production,Service,QC,Ethanol,Production,,Discount rate_financial,,,,,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.QC.Ethanol.Production,Service,QC,Ethanol,Production,,Heterogeneity,,,,,,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.QC.Ethanol.Production,Service,QC,Ethanol,Production,Corn,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol.Production,Service,QC,Ethanol,Production,Corn,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.QC.Ethanol.Production,Service,QC,Ethanol,Production,Corn,Service requested,,,CIMS.CAN.QC.Ethanol.Production.Corn,,GJ,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol.Production,Service,QC,Ethanol,Production,Cellulosic,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol.Production,Service,QC,Ethanol,Production,Cellulosic,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.QC.Ethanol.Production,Service,QC,Ethanol,Production,Cellulosic,Service requested,,,CIMS.CAN.QC.Ethanol.Production.Cellulosic,,GJ,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol.Production.Corn,Service,QC,Ethanol,Corn,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol.Production.Corn,Service,QC,Ethanol,Corn,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol.Production.Corn,Service,QC,Ethanol,Corn,,Discount rate_financial,,,,,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.QC.Ethanol.Production.Corn,Service,QC,Ethanol,Corn,,Heterogeneity,,,,,,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.QC.Ethanol.Production.Corn,Service,QC,Ethanol,Corn,Corn ethanol,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol.Production.Corn,Service,QC,Ethanol,Corn,Corn ethanol,Available,,,,,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.QC.Ethanol.Production.Corn,Service,QC,Ethanol,Corn,Corn ethanol,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.QC.Ethanol.Production.Corn,Service,QC,Ethanol,Corn,Corn ethanol,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
