,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.CAN.SK.Biodiesel,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Coal,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Coke,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.CAN.SK.Electricity,CER,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.CAN.SK.Ethanol,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,Petroleum Refining,,1.00398172643318,1.00770540846205,0.98543751863212,0.94747956925584,0.94097280286954,0.9099685360173,0.85974547700378,0.85752824132152,0.87125772534436,0.88717016090188,0.89691579876092,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.CAN.SK.Hydrogen,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.LPG,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,Petroleum Refining,,0.63993044524451,0.720980621653,0.79985634660135,0.90352294300966,1.19343520811206,1.1608730190652,1.12441572399752,1.12532494240017,1.12718164522093,1.1326100300523,1.13865716271622,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,Petroleum Refining,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Hydrogen,Sector,SK,Hydrogen,,,Price multiplier,,,CIMS.Generic Fuels.Propane,Petroleum Refining,,1.66451489522086,1.02787454110275,1.1024780113126,0.84105426391187,0.97447697705686,1.02288184244357,1.05485516434977,1.07154609752645,1.09012254798359,1.09012254798359,1.09012254798359,
