,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB,Region,AB,Light Industrial,,,Service requested,,,CIMS.CAN.AB.Light Industrial,,$ million GDP,11246.41078,12669.66264,12499.99392,14366.59158,15790.73241,16834.06887,17905.53293,18653.51434,19401.49576,20149.47718,20897.4586,
CIMS.CAN.AB.Light Industrial,Sector,AB,,,,Service provided,,,,,$ million GDP,,,,,,,,,,,,
CIMS.CAN.AB.Light Industrial,Sector,AB,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Light Industrial,Sector,AB,Light Industrial,,,Price multiplier,,,CIMS.CAN.AB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Light Industrial,Sector,AB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Light Industrial,Sector,AB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Light Industrial,Sector,AB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Light Industrial,Sector,AB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Light Industrial,Sector,AB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Light Industrial,Sector,AB,Light Industrial,,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.AB.Light Industrial,Sector,AB,Light Industrial,,,Price multiplier,,,CIMS.CAN.AB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Light Industrial,Sector,AB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.000378895,1.000378895,0.970941813,0.949738223,0.914337184,0.822786516,0.746186704,0.762030804,0.780223985,0.800512001,0.820574099,
