CIMS.CAN.AT.Light Industrial.Steam,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT,Region,AT,Light Industrial,,,Service requested,,,CIMS.CAN.AT.Light Industrial,,$ million GDP,5396.052974,5714.302974,5739.01430628608,6545.09628809938,7159.08517926941,7571.8386257088,7979.38860077419,8302.97225802765,8626.55591528111,8950.13957253457,9273.72322978802,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Service provided,,,,,$ million GDP,,,,,,,,,,,,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.CAN.AT.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.CAN.AT.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.53657798022053,1.67667064085497,1.32708980623508,2.73498574284982,2.13255973899022,2.16303603118783,2.27250793824371,2.26695514326588,2.26523544819922,2.24596313593904,2.22672009497762,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.CAN.AT.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.00765505143934,0.96631692679808,1.6774358301159,1.95085745240797,1.64634076741933,2.5459911651482,2.73158118060431,2.65403505115509,2.48362961792727,2.4258206377825,2.38694492928278,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial,Sector,AT,Light Industrial,,,Service requested,,,CIMS.CAN.AT.Light Industrial.Manufacturing,,$ million GDP,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial.Manufacturing,Service,AT,Light Industrial,Manufacturing,,Service provided,,,,,$ million GDP,,,,,,,,,,,,
CIMS.CAN.AT.Light Industrial.Manufacturing,Service,AT,Light Industrial,Manufacturing,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Light Industrial.Manufacturing,Service,AT,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,,$ million GDP,0.18440555254682,0.18440555254682,0.18440555254682,0.18440555254682,0.18440555254682,0.18440555254682,0.18440555254682,0.18440555254682,0.18440555254682,0.18440555254682,0.18440555254682,
CIMS.CAN.AT.Light Industrial.Manufacturing,Service,AT,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.AT.Light Industrial.Manufacturing.Leather and Textiles,,$ million GDP,0.03040294461774,0.03040294461774,0.03040294461774,0.03040294461774,0.03040294461774,0.03040294461774,0.03040294461774,0.03040294461774,0.03040294461774,0.03040294461774,0.03040294461774,
CIMS.CAN.AT.Light Industrial.Manufacturing,Service,AT,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.AT.Light Industrial.Manufacturing.Wood Products,,$ million GDP,0.13008952264321,0.13008952264321,0.13008952264321,0.13008952264321,0.13008952264321,0.13008952264321,0.13008952264321,0.13008952264321,0.13008952264321,0.13008952264321,0.13008952264321,
CIMS.CAN.AT.Light Industrial.Manufacturing,Service,AT,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.AT.Light Industrial.Manufacturing.Furniture Printing and Machinery,,$ million GDP,0.07949842868324,0.07949842868324,0.07949842868324,0.07949842868324,0.07949842868324,0.07949842868324,0.07949842868324,0.07949842868324,0.07949842868324,0.07949842868324,0.07949842868324,
CIMS.CAN.AT.Light Industrial.Manufacturing,Service,AT,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.AT.Light Industrial.Manufacturing.Transportation Equipment,,$ million GDP,0.06238450366755,0.06238450366755,0.06238450366755,0.06238450366755,0.06238450366755,0.06238450366755,0.06238450366755,0.06238450366755,0.06238450366755,0.06238450366755,0.06238450366755,
CIMS.CAN.AT.Light Industrial.Manufacturing,Service,AT,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.AT.Light Industrial.Manufacturing.Electronics and Other,,$ million GDP,0.5116794115435,0.5116794115435,0.5116794115435,0.5116794115435,0.5116794115435,0.5116794115435,0.5116794115435,0.5116794115435,0.5116794115435,0.5116794115435,0.5116794115435,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,,Service provided,,,,,$ million GDP,,,,,,,,,,,,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,,Discount rate_financial,,,,,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Available,,,,,Year,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Lifetime,,,,,Years,35,35,35,35,35,35,35,35,35,35,35,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Output,,,,,$ million GDP,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,AT,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,FCC,,,,,$,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,
