CIMS.CAN.BC.Light Industrial.Water Heating,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC,Region,BC,Light Industrial,,,Service requested,,,CIMS.CAN.BC.Light Industrial,,$ million GDP,11765.2,12011.2,10708.2,12631.9,13026.9,13376.0470072204,13734.551853424,14102.6653474353,14480.6450202575,14868.7553052404,15267.267723077,
CIMS.CAN.BC.Light Industrial,Sector,BC,,,,Service provided,,,,,$ million GDP,,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial,Sector,BC,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.CAN.BC.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.CAN.BC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.01600537757731,1.01600537757731,1.12937969303903,1.1700038420687,1.06007477314638,1.16857029995883,1.23312899103829,1.18138017230694,1.1078112969818,1.02222620339895,0.96565680121895,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.CAN.BC.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.05573921415618,1.05573921415618,1.10715605699094,1.32645343659563,0.80925887171053,0.90270842821186,0.85690314279768,0.83912140951455,0.84041216516461,0.84280732149356,0.84547528189866,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial,Sector,BC,Light Industrial,,,Service requested,,,CIMS.CAN.BC.Light Industrial.Manufacturing,,$ million GDP,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial.Manufacturing,Service,BC,Light Industrial,Manufacturing,,Service provided,,,,,$ million GDP,,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial.Manufacturing,Service,BC,Light Industrial,Manufacturing,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial.Manufacturing,Service,BC,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,,$ million GDP,0.18063441335464,0.18600972425736,0.24319680245046,0.21984816219254,0.24735739124427,0.24735739124427,0.24735739124427,0.24735739124427,0.24735739124427,0.24735739124427,0.24735739124427,
CIMS.CAN.BC.Light Industrial.Manufacturing,Service,BC,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,,$ million GDP,0.04465712440078,0.04647329159451,0.0430324424273,0.04135561554477,0.04000184234162,0.04000184234162,0.04000184234162,0.04000184234162,0.04000184234162,0.04000184234162,0.04000184234162,
CIMS.CAN.BC.Light Industrial.Manufacturing,Service,BC,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.BC.Light Industrial.Manufacturing.Leather and Textiles,,$ million GDP,0.02928127018665,0.01667610230452,0.01708036831587,0.01366381937792,0.01455449876793,0.01455449876793,0.01455449876793,0.01455449876793,0.01455449876793,0.01455449876793,0.01455449876793,
CIMS.CAN.BC.Light Industrial.Manufacturing,Service,BC,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.BC.Light Industrial.Manufacturing.Wood Products,,$ million GDP,0.26433039812328,0.32241574530438,0.2700080312284,0.28513525281232,0.21184625659213,0.21184625659213,0.21184625659213,0.21184625659213,0.21184625659213,0.21184625659213,0.21184625659213,
CIMS.CAN.BC.Light Industrial.Manufacturing,Service,BC,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.BC.Light Industrial.Manufacturing.Furniture Printing and Machinery,,$ million GDP,0.2575986808554,0.25940788597309,0.23083244616275,0.24034389125943,0.26734679777998,0.26734679777998,0.26734679777998,0.26734679777998,0.26734679777998,0.26734679777998,0.26734679777998,
CIMS.CAN.BC.Light Industrial.Manufacturing,Service,BC,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.BC.Light Industrial.Manufacturing.Transportation Equipment,,$ million GDP,0.09720191751946,0.05746303450113,0.06253151790217,0.07399520262193,0.0768563510889,0.0768563510889,0.0768563510889,0.0768563510889,0.0768563510889,0.0768563510889,0.0768563510889,
CIMS.CAN.BC.Light Industrial.Manufacturing,Service,BC,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.BC.Light Industrial.Manufacturing.Electronics and Other,,$ million GDP,0.12629619555979,0.11155421606501,0.13331839151305,0.12565805619107,0.14203686218517,0.14203686218517,0.14203686218517,0.14203686218517,0.14203686218517,0.14203686218517,0.14203686218517,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,,Service provided,,,,,$ million GDP,,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,,Discount rate_financial,,,,,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Available,,,,,Year,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Lifetime,,,,,Years,35,35,35,35,35,35,35,35,35,35,35,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Output,,,,,$ million GDP,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,FCC,,,,,$,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,1.93343980115421,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,FOM,,,,,$,0.22543596036485,0.22543596036485,0.22543596036485,0.22543596036485,0.22543596036485,0.22543596036485,0.22543596036485,0.22543596036485,0.22543596036485,0.22543596036485,0.22543596036485,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Service requested,,,CIMS.CAN.BC.Light Industrial.Steam,,GJ,1877.3903342577,1877.3903342577,1877.3903342577,1877.3903342577,1877.3903342577,1877.3903342577,1877.3903342577,1877.3903342577,1877.3903342577,1877.3903342577,1877.3903342577,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Service requested,,,CIMS.CAN.BC.Light Industrial.HVAC,,GJ,492.447360279896,492.447360279896,492.447360279896,492.447360279896,492.447360279896,492.447360279896,492.447360279896,492.447360279896,492.447360279896,492.447360279896,492.447360279896,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Service requested,,,CIMS.CAN.BC.Light Industrial.Lighting,,GJ,25.5199052759841,25.5199052759841,25.5199052759841,25.5199052759841,25.5199052759841,25.5199052759841,25.5199052759841,25.5199052759841,25.5199052759841,25.5199052759841,25.5199052759841,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Service requested,,,CIMS.CAN.BC.Light Industrial.Water Heating,,GJ,10230.5257281483,10230.5257281483,10230.5257281483,10230.5257281483,10230.5257281483,10230.5257281483,10230.5257281483,10230.5257281483,10230.5257281483,10230.5257281483,10230.5257281483,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Service requested,,,CIMS.CAN.BC.Light Industrial.Heat,,GJ,1815.36928353439,1815.36928353439,1815.36928353439,1815.36928353439,1815.36928353439,1815.36928353439,1815.36928353439,1815.36928353439,1815.36928353439,1815.36928353439,1815.36928353439,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Service,BC,Light Industrial,Food Tobacco and Beverage,food beverage and tobacco,Service requested,,,CIMS.CAN.BC.Light Industrial.Motive Power,,GJ,156.010696,156.010696,156.010696,156.010696,156.010696,156.010696,156.010696,156.010696,156.010696,156.010696,156.010696,
CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,Service,BC,Light Industrial,Rubber and Plastics,,Service provided,,,,,$ million GDP,,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,Service,BC,Light Industrial,Rubber and Plastics,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,Service,BC,Light Industrial,Rubber and Plastics,,Discount rate_financial,,,,,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,Service,BC,Light Industrial,Rubber and Plastics,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,Service,BC,Light Industrial,Rubber and Plastics,rubber and plastics,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,Service,BC,Light Industrial,Rubber and Plastics,rubber and plastics,Available,,,,,Year,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,Service,BC,Light Industrial,Rubber and Plastics,rubber and plastics,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,Service,BC,Light Industrial,Rubber and Plastics,rubber and plastics,Lifetime,,,,,Years,35,35,35,35,35,35,35,35,35,35,35,
CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,Service,BC,Light Industrial,Rubber and Plastics,rubber and plastics,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.BC.Light Industrial.Manufacturing.Rubber and Plastics,Service,BC,Light Industrial,Rubber and Plastics,rubber and plastics,Output,,,,,$ million GDP,1,1,1,1,1,1,1,1,1,1,1,
