CIMS.CAN.MB.Light Industrial.Steam,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB,Region,MB,Light Industrial,,,Service requested,,,CIMS.CAN.MB.Light Industrial,,$ million GDP,6267.938517,7347.138608,4030.89560485805,4907.91767351115,5517.42368328972,5981.11413068302,6403.72077728746,6762.31888832853,7120.91699936959,7479.51511041066,7838.11322145172,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Service provided,,,,,$ million GDP,,,,,,,,,,,,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.CAN.MB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.CAN.MB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.50941028956873,1.65659414515897,1.39880092333894,3.12740038125534,2.70771016419092,3.02813637177272,3.49529645189704,3.49067836861104,3.40892626117641,3.29184819167696,3.2014323036222,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.CAN.MB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,0.86781865124525,0.74278437218234,0.97185167309569,1.43527131302478,1.83323317795425,2.88743343513025,3.22120970523544,3.07770965798587,2.73888188135301,2.39184364439094,2.1097383055526,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial,Sector,MB,Light Industrial,,,Service requested,,,CIMS.CAN.MB.Light Industrial.Manufacturing,,$ million GDP,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Light Industrial.Manufacturing,Service,MB,Light Industrial,Manufacturing,,Service provided,,,,,$ million GDP,,,,,,,,,,,,
CIMS.CAN.MB.Light Industrial.Manufacturing,Service,MB,Light Industrial,Manufacturing,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Light Industrial.Manufacturing,Service,MB,Light Industrial,Manufacturing,,Service requested,,,CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,,$ million GDP,0.09925508355144,0.09925508355144,0.09925508355144,0.09925508355144,0.09925508355144,0.09925508355144,0.09925508355144,0.09925508355144,0.09925508355144,0.09925508355144,0.09925508355144,
