,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Mining,,,Service requested,,,CIMS.CAN.ON.Mining,,tonne,25919122,27267080,23302369,28679137,33246082,35814982,38582378,41563609,44775198,48234943,51962020,
CIMS.CAN.ON.Mining,Sector,ON,,,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.ON.Mining,Sector,ON,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Mining,Sector,ON,Mining,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
CIMS.CAN.ON.Mining,Sector,ON,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
CIMS.CAN.ON.Mining,Sector,ON,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
CIMS.CAN.ON.Mining,Sector,ON,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
CIMS.CAN.ON.Mining,Sector,ON,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
CIMS.CAN.ON.Mining,Sector,ON,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C11&$D11&$J11,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
