,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB,Region,MB,Mining,,,Service requested,,,CIMS.CAN.MB.Mining,,tonne,5880683.36970717,4527670.82802221,3583108.85148084,4884591.83384185,5293772.30159823,5626787.38337279,5949795.33414244,6152955.97787707,6356116.6216117,6559277.26534634,6762437.90908097,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.CAN.MB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.44969499878381,0.52455741450093,0.74274922249282,0.74554903831526,0.86685361781234,0.95921661043739,1.03930989828699,1.10544820774005,1.15320091720262,1.16157123068941,1.17592598537729,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.CAN.MB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.986093329895,0.98453121428434,1.0403244318848,1.10214813999191,1.21079307599774,1.27784655212994,1.34932927368762,1.34754650216828,1.33147469266986,1.31179841634557,1.29422196667178,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.CAN.MB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1.16921243005649,1.0325204096784,0.73965433912014,0.45861880500589,0.62200147259176,0.66023066144092,0.67410878127044,0.68502833004394,0.69379341671638,0.69379341671638,0.69379341671638,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.07602333282632,0.98517529009583,0.78790498418168,0.96572779762688,1.23971515673918,1.14207288301473,1.10739261858448,1.09267798508374,1.05106330066136,0.9537098075736,0.86494694088816,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Service requested,,,CIMS.CAN.MB.Mining.Final Product,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining.Final Product,Service,MB,Mining,Final Product,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.MB.Mining.Final Product,Service,MB,Mining,Final Product,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Mining.Final Product,Service,MB,Mining,Final Product,,Service requested,,,CIMS.CAN.MB.Mining.Final Product.Metal Open Pit,,tonne,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Mining.Final Product,Service,MB,Mining,Final Product,,Service requested,,,CIMS.CAN.MB.Mining.Final Product.Metal Underground,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Mining.Final Product,Service,MB,Mining,Final Product,,Service requested,,,CIMS.CAN.MB.Mining.HVAC,,GJ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
CIMS.CAN.MB.Mining.Final Product,Service,MB,Mining,Final Product,,Service requested,,,CIMS.CAN.MB.Mining.Lighting,,GJ,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
