,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK,Region,SK,Mining,,,Service requested,,,CIMS.CAN.SK.Mining,,tonne,9783093.165,11516184.84,7670954.479,11052536.49,12031849.84,12918133.42,13791913,14117017.03,14442121.05,14767225.08,15092329.1,
CIMS.CAN.SK.Mining,Sector,SK,,,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.SK.Mining,Sector,SK,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.CAN.SK.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.441020659,0.514744626,0.706772574,0.721086433,0.836942761,0.92203967,0.995864198,1.055958929,1.101941146,1.109939399,1.123656085,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.CAN.SK.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.CAN.SK.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.003981726,1.003981726,0.966521562,0.934213699,0.963194628,0.900022791,0.847205975,0.857436649,0.870965275,0.887228501,0.903589315,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.CAN.SK.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,0.639930445,0.639930445,0.748286023,0.617982632,1.333068856,1.149559516,1.115840644,1.125041044,1.126607652,1.132574849,1.143903397,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Service requested,,,CIMS.CAN.SK.Mining.Final Product,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining.Final Product,Service,SK,Mining,Final Product,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.SK.Mining.Final Product,Service,SK,Mining,Final Product,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Mining.Final Product,Service,SK,Mining,Final Product,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash,,tonne,0.940602307,0.945278332,0.945278332,0.945278332,0.945278332,0.945278332,0.945278332,0.945278332,0.945278332,0.945278332,0.945278332,
CIMS.CAN.SK.Mining.Final Product,Service,SK,Mining,Final Product,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Metal Underground,,tonne,0.059397693,0.054721668,0.054721668,0.054721668,0.054721668,0.054721668,0.054721668,0.054721668,0.054721668,0.054721668,0.054721668,
CIMS.CAN.SK.Mining.Final Product,Service,SK,Mining,Final Product,,Service requested,,,CIMS.CAN.SK.Mining.HVAC,,GJ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
CIMS.CAN.SK.Mining.Final Product,Service,SK,Mining,Final Product,,Service requested,,,CIMS.CAN.SK.Mining.Lighting,,GJ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
CIMS.CAN.SK.Mining.Final Product.Potash,Service,SK,Mining,Potash,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.SK.Mining.Final Product.Potash,Service,SK,Mining,Potash,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Mining.Final Product.Potash,Service,SK,Mining,Potash,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Mining.Final Product.Potash,Service,SK,Mining,Potash,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash.Drying,,tonne,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,
CIMS.CAN.SK.Mining.Final Product.Potash,Service,SK,Mining,Potash,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash.Compaction,,tonne,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,0.933747412,
CIMS.CAN.SK.Mining.Final Product.Potash,Service,SK,Mining,Potash,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash.Tailings Disposal,,tonne,0.186749482,0.186749482,0.186749482,0.186749482,0.186749482,0.186749482,0.186749482,0.186749482,0.186749482,0.186749482,0.186749482,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product,Service,SK,Mining,Separated Product,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product,Service,SK,Mining,Separated Product,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product,Service,SK,Mining,Separated Product,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product,,tonne,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product,Service,SK,Mining,Separated Product,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Crystalization,,tonne,0.089026915,0.089026915,0.089026915,0.089026915,0.089026915,0.089026915,0.089026915,0.089026915,0.089026915,0.089026915,0.089026915,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product,Service,SK,Mining,Separated Product,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Flotation,,tonne,1.013664596,1.013664596,1.013664596,1.013664596,1.013664596,1.013664596,1.013664596,1.013664596,1.013664596,1.013664596,1.013664596,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product,Service,SK,Mining,Raw Product,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product,Service,SK,Mining,Raw Product,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product,Service,SK,Mining,Raw Product,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product.Conventional Mining,,tonne,1.120496894,1.120496894,1.120496894,1.120496894,1.120496894,1.120496894,1.120496894,1.120496894,1.120496894,1.120496894,1.120496894,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product,Service,SK,Mining,Raw Product,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product.Solution Mining,,tonne,0.066252588,0.066252588,0.066252588,0.066252588,0.066252588,0.066252588,0.066252588,0.066252588,0.066252588,0.066252588,0.066252588,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product.Conventional Mining,Service,SK,Mining,Conventional Mining,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product.Conventional Mining,Service,SK,Mining,Conventional Mining,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product.Conventional Mining,Service,SK,Mining,Conventional Mining,,Service requested,,,CIMS.CAN.SK.Mining.Final Product.Potash.Separated Product.Raw Product.Conventional Mining.Extraction,,tonne,1,1,1,1,1,1,1,1,1,1,1,
