,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT,Region,AT,Petroleum Crude,,,Service requested,,,CIMS.CAN.AT.Petroleum Crude,Statistics Canada: 25-10-0014-01 (Total net withdrawls),m3,8394200,17677600,15707850.75,11140769.48,11650597.33,10853873.38,9985519.814,9145515.501,8440043.485,7739923.196,6920055.168,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,,,,Service provided,,,,,m3,,,,,,,,,,,,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.CAN.AT.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.491700944,0.574782762,0.758902576,0.791365063,0.913755672,1.001988698,1.078336846,1.142011579,1.188331083,1.196956383,1.211748429,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.CAN.AT.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.003841903,1.003841903,1.050793684,0.947261907,0.948256345,0.906139095,0.868797993,0.875062108,0.884633545,0.895531992,0.902761291,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,0.770692877,0.741456053,0.507015434,0.585414935,0.683318116,0.741290732,0.780669546,0.826348759,0.866050134,0.875946322,0.890242997,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.CAN.AT.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Petroleum Crude,Sector,AT,Petroleum Crude,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.2494089,1.2494089,1.415797605,1.380895073,1.241325073,0.985857272,0.925213118,0.941982681,0.952674828,0.967280115,0.986829614,
