,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB,Region,AB,Petroleum Refining,,,Service requested,,,CIMS.CAN.AB.Petroleum Refining,"Statistics Canada: 25-10-0014-01 (To refineries, Province)",m3 of RPP,24124100,27196801.63,27594597.23,29271418.28,29803905.68,29792475.86,30063906.53,30241184.23,30391521.67,30341819.72,30383307.38,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,,,,Service provided,,,,,m3 of RPP,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.CAN.AB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.CAN.AB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.000378895,1.000378895,0.970941813,0.949738223,0.914337184,0.822786516,0.746186704,0.762030804,0.780223985,0.800512001,0.820574099,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.CAN.AB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,0.982964667,0.982964667,0.900136026,0.863495495,0.871820824,0.954763731,0.984037271,0.982416024,0.977411091,0.974504198,0.972980973,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1.660905867,1.025645887,1.100087601,0.839230677,0.9723641,1.020664014,1.05256801,1.069222754,1.087758927,1.087758927,1.087758927,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products,,m3 of RPP,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products,Service,AB,Petroleum Refining,Refined Petroleum Products,,Service provided,,,,,m3 of RPP,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products,Service,AB,Petroleum Refining,Refined Petroleum Products,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products,Service,AB,Petroleum Refining,Refined Petroleum Products,,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates,,m3 of RPP,0.143591006,0.15091559,0.158613802,0.1667047,0.175208315,0.1841457,0.193538981,0.203411415,0.203411415,0.203411415,0.203411415,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products,Service,AB,Petroleum Refining,Refined Petroleum Products,,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions,,m3 of RPP,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products,Service,AB,Petroleum Refining,Refined Petroleum Products,,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Reforming,,m3 of RPP,0.164365365,0.172749651,0.181561619,0.190823087,0.200556982,0.210787403,0.221539679,0.23284043,0.23284043,0.23284043,0.23284043,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products,Service,AB,Petroleum Refining,Refined Petroleum Products,,Service requested,,,CIMS.CAN.AB.Petroleum Refining.HVAC,,GJ,0.059335234,0.059335234,0.059335234,0.059335234,0.059335234,0.059335234,0.059335234,0.059335234,0.059335234,0.059335234,0.059335234,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products,Service,AB,Petroleum Refining,Refined Petroleum Products,,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Lighting,,GJ,0.001718466,0.001718466,0.001718466,0.001718466,0.001718466,0.001718466,0.001718466,0.001718466,0.001718466,0.001718466,0.001718466,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates,Service,AB,Petroleum Refining,Alkylates,,Service provided,,,,,m3 of RPP,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates,Service,AB,Petroleum Refining,Alkylates,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates,Service,AB,Petroleum Refining,Alkylates,,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins,,m3 of RPP,0.463800905,0.463800905,0.463800905,0.463800905,0.463800905,0.463800905,0.463800905,0.463800905,0.463800905,0.463800905,0.463800905,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates,Service,AB,Petroleum Refining,Alkylates,,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,,m3 of RPP,0.536199095,0.536199095,0.536199095,0.536199095,0.536199095,0.536199095,0.536199095,0.536199095,0.536199095,0.536199095,0.536199095,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins,Service,AB,Petroleum Refining,Isoparaffins,,Service provided,,,,,m3 of RPP,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins,Service,AB,Petroleum Refining,Isoparaffins,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins,Service,AB,Petroleum Refining,Isoparaffins,,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,,m3 of RPP,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,,Service provided,,,,,m3 of RPP,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,,Discount rate_financial,,,,,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Lifetime,,,,,Years,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Market share,,,,,%,0.6,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Output,,,,,m3 of RPP,481250,481250,481250,481250,481250,481250,481250,481250,481250,481250,481250,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,FCC,,,,,$,16940488.55,16940488.55,16940488.55,16940488.55,16940488.55,16940488.55,16940488.55,16940488.55,16940488.55,16940488.55,16940488.55,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,FOM,,,,,$,1694048.855,1694048.855,1694048.855,1694048.855,1694048.855,1694048.855,1694048.855,1694048.855,1694048.855,1694048.855,1694048.855,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Steam,,GJ,1.249611313,1.249611313,1.249611313,1.249611313,1.249611313,1.249611313,1.249611313,1.249611313,1.249611313,1.249611313,1.249611313,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Compression,,GJ,0.002113318,0.002113318,0.002113318,0.002113318,0.002113318,0.002113318,0.002113318,0.002113318,0.002113318,0.002113318,0.002113318,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Direct Heat,,GJ,0.667655168,0.667655168,0.667655168,0.667655168,0.667655168,0.667655168,0.667655168,0.667655168,0.667655168,0.667655168,0.667655168,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Pumping,,GJ,0.023288768,0.023288768,0.023288768,0.023288768,0.023288768,0.023288768,0.023288768,0.023288768,0.023288768,0.023288768,0.023288768,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Isomerization tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Still Gas,,GJ,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Lifetime,,,,,Years,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Market share,,,,,%,0.4,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Output,,,,,m3 of RPP,481250,481250,481250,481250,481250,481250,481250,481250,481250,481250,481250,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,FCC,,,,,$,18545376.94,18545376.94,18545376.94,18545376.94,18545376.94,18545376.94,18545376.94,18545376.94,18545376.94,18545376.94,18545376.94,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,FOM,,,,,$,1854537.694,1854537.694,1854537.694,1854537.694,1854537.694,1854537.694,1854537.694,1854537.694,1854537.694,1854537.694,1854537.694,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Steam,,GJ,0.999689051,0.999689051,0.999689051,0.999689051,0.999689051,0.999689051,0.999689051,0.999689051,0.999689051,0.999689051,0.999689051,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Compression,,GJ,0.001944253,0.001944253,0.001944253,0.001944253,0.001944253,0.001944253,0.001944253,0.001944253,0.001944253,0.001944253,0.001944253,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Direct Heat,,GJ,0.534124134,0.534124134,0.534124134,0.534124134,0.534124134,0.534124134,0.534124134,0.534124134,0.534124134,0.534124134,0.534124134,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Pumping,,GJ,0.021471314,0.021471314,0.021471314,0.021471314,0.021471314,0.021471314,0.021471314,0.021471314,0.021471314,0.021471314,0.021471314,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Isoparaffins.Isomerization,Service,AB,Petroleum Refining,Isomerization,Eff isomerization tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Still Gas,,GJ,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,,Service provided,,,,,m3 of RPP,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,,Discount rate_financial,,,,,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,Lifetime,,,,,Years,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,Market share,,,,,%,0.5,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,Output,,,,,m3 of RPP,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,FCC,,,,,$,42797023.7,42797023.7,42797023.7,42797023.7,42797023.7,42797023.7,42797023.7,42797023.7,42797023.7,42797023.7,42797023.7,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,FOM,,,,,$,6419553.554,6419553.554,6419553.554,6419553.554,6419553.554,6419553.554,6419553.554,6419553.554,6419553.554,6419553.554,6419553.554,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Steam,,GJ,0.080333292,0.080333292,0.080333292,0.080333292,0.080333292,0.080333292,0.080333292,0.080333292,0.080333292,0.080333292,0.080333292,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Compression,,GJ,0.004852003,0.004852003,0.004852003,0.004852003,0.004852003,0.004852003,0.004852003,0.004852003,0.004852003,0.004852003,0.004852003,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Direct Heat,,GJ,5.1785097,5.1785097,5.1785097,5.1785097,5.1785097,5.1785097,5.1785097,5.1785097,5.1785097,5.1785097,5.1785097,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Hydrofluoric acid alkylation tower,Service requested,,,CIMS.CAN.AB.Petroleum Refining.Pumping,,GJ,0.05387396,0.05387396,0.05387396,0.05387396,0.05387396,0.05387396,0.05387396,0.05387396,0.05387396,0.05387396,0.05387396,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Eff hydrofluoric acid alkylation tower,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Eff hydrofluoric acid alkylation tower,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Eff hydrofluoric acid alkylation tower,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Eff hydrofluoric acid alkylation tower,Lifetime,,,,,Years,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Eff hydrofluoric acid alkylation tower,Market share,,,,,%,0.5,,,,,,,,,,,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Eff hydrofluoric acid alkylation tower,Output,,,,,m3 of RPP,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,
CIMS.CAN.AB.Petroleum Refining.Refined Petroleum Products.Alkylates.Alkylation,Service,AB,Petroleum Refining,Alkylation,Eff hydrofluoric acid alkylation tower,FCC,,,,,$,47076726.07,47076726.07,47076726.07,47076726.07,47076726.07,47076726.07,47076726.07,47076726.07,47076726.07,47076726.07,47076726.07,
