,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Pulp and Paper,,,Service requested,,,CIMS.CAN.ON.Pulp and Paper,,tonne,5169492,4528820,3232625,2637105,2502750,2375240,2254226,2139378,2030381,1926937,1828763,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,,,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504944,1.119113534,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.CAN.ON.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TODO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.994028727,0.994028727,1.038806922,1.03946999,1.144934473,1.243009578,1.31987248,1.299329113,1.28728631,1.280849006,1.27568991,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.129173279,1.129173279,1.410562474,1.510685685,1.566029371,1.270434426,1.212480418,1.224850313,1.227209566,1.235259498,1.250730874,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Service requested,,,CIMS.CAN.ON.Pulp and Paper.Paper,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper.Paper,Service,ON,Pulp and Paper,Paper,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.ON.Pulp and Paper.Paper,Service,ON,Pulp and Paper,Paper,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Pulp and Paper.Paper,Service,ON,Pulp and Paper,Paper,,Service requested,,,CIMS.CAN.ON.Pulp and Paper.Paper.Newsprint,,tonne,0.320812182,0.260947055,0.230426902,0.206954776,0.185254567,0.165316497,0.147102173,0.130550057,0.130550057,0.130550057,0.130550057,
