,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT,Region,AT,Residential,,,Service requested,,,CIMS.CAN.AT.Residential,Census,household,893410,929000,963259,1013416.691,1053469.254,1059321.744,1057108.066,1083799.339,1100963.637,1118128.078,1135292.655,
CIMS.CAN.AT.Residential,Sector,AT,,,,Service provided,,,,,household,,,,,,,,,,,,
CIMS.CAN.AT.Residential,Sector,AT,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Residential,Sector,AT,Residential,,,Price multiplier,,,CIMS.CAN.AT.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Residential,Sector,AT,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Residential,Sector,AT,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Residential,Sector,AT,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Residential,Sector,AT,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Residential,Sector,AT,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.404553728,0.702539906,1.216015042,1.407539166,1.606910489,1.763150217,1.906455257,2.029500117,2.105306457,2.120587467,2.146793792,
CIMS.CAN.AT.Residential,Sector,AT,Residential,,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,2,2,2,2,2,2,2,2,2,2,2,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.AT.Residential,Sector,AT,Residential,,,Price multiplier,,,CIMS.CAN.AT.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Residential,Sector,AT,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.011533308,1.011533308,0.957185492,0.895623764,0.918034061,0.906374103,0.89274409,0.903520303,0.91418859,0.922811717,0.929499636,
CIMS.CAN.AT.Residential,Sector,AT,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
