CIMS.CAN.BC.Residential.Dwellings.Lighting,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC,Region,BC,Residential,,,Service requested,,,CIMS.CAN.BC.Residential,activity_data_region,household,1609594,1716416,1867194,1977270,2138439,2242623.33489448,2351883.5104547,2466466.82065716,2586632.60759308,2712652.8484503,2844812.77109266,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Service provided,,,,activity_data_generic,household,,,,,,,,,,,,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.CAN.BC.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,KT 2023,,0.83402835696414,0.83402835696414,2.79507133592737,4.53103448275862,3.41454202077432,4.00442967884828,3.54509803921569,3.34814814814815,3.18871252204586,3.18871252204586,3.18871252204586,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.33888366,0.669977105,1.137202716,1.402319096,1.614736849,1.76093578,1.896264659,2.014263704,2.084550458,2.099680814,2.125628774,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,2,2,2,2,2,2,2,2,2,2,2,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.CAN.BC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.136950638,1.136950638,1.164030715,1.11721623,1.136695992,1.10778843,1.12334405,1.11976149,1.114459445,1.104554057,1.091720318,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.CAN.BC.Hydrogen,KT 2023,,1.14,1.14,2.95,2.95,2.95,2.87,2.6,2.43,2.29,2.36,2.42,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,KT 2023,,1.14,1.14,2.95,2.95,2.95,2.87,2.6,2.43,2.29,2.36,2.42,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,KT 2023,,11.9325471282525,14.7038262395284,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Retirement intercept,,,,,,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,
CIMS.CAN.BC.Residential,Sector,BC,Residential,,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings,activity_data_generic,building,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service provided,,,,activity_data_generic,building,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Building Type,activity_data_generic,building,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Refrigerators,activity_data_region,unit,1.21,1.25,1.276,1.291,1.302,1.313093726,1.324281976,1.335565556,1.346945278,1.346945278,1.346945278,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Freezers,activity_data_region,unit,0.558631633,0.561922604,0.55645356,0.552158226,0.54862077,0.54862077,0.54862077,0.54862077,0.54862077,0.54862077,0.54862077,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Ranges,activity_data_region,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Dishwashing,activity_data_region,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Clothes Washing,activity_data_region,unit,0.79526211,0.812511777,0.835002242,0.854247257,0.870577934,0.885078861,0.897955051,0.909388545,0.919540988,0.919540988,0.919540988,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Minor Appliances,activity_data_region,unit,0.85,1,1,1.263417863,1.596224698,2.016698797,2.547933285,3.219104427,4.067074037,4.067074037,4.067074037,
CIMS.CAN.BC.Residential.Dwellings,Service,BC,Residential,Dwellings,,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Non-appliance Hot Water,activity_data_region,unit,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,,Service provided,,,,activity_data_generic,building,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Apartment,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Apartment,Market share,,,,activity_data_region,%,0.31903511071736,0.32547121443753,0.33868039421721,0.34945404522397,0.36897054346652,0.37553978366975,0.38780447201653,0.39794235571905,0.40534059926132,0.41080137213337,0.41487030392203,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Apartment,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Building Type.High Density,activity_data_region,m2,81.241711569432,83.2390574319245,86.2405950833515,89.1087102819969,92.5742153884371,94.9524118088145,97.8119218503023,100.309601667627,102.287087639315,103.844637926738,105.066520180434,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Detached,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Detached,Market share,,,,activity_data_region,%,0.53919621966782,0.52789300495917,0.50851866490574,0.49408072746767,0.47214860933606,0.45879271655944,0.4418444118552,0.42757378808508,0.41685644956911,0.40875292104807,0.4025935626945,
CIMS.CAN.BC.Residential.Dwellings.Building Type,Service,BC,Residential,Building Type,Detached,Service requested,,,CIMS.CAN.BC.Residential.Dwellings.Building Type.LowMed Density,activity_data_region,m2,164.683881657405,171.024982231228,177.856204772391,183.951578975383,188.397888003993,195.714140971739,201.828618000787,207.172504238744,211.406947287214,214.744328174758,217.363780854049,
