,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB,Region,MB,Residential,,,Service requested,,,CIMS.CAN.MB.Residential,Census,household,422420,446610,465954,517467.965530161,556383.654231849,580613.252325802,604966.654611212,616667.116468372,635474.940290383,654283.944924679,673094.025321777,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Service provided,,,,,household,,,,,,,,,,,,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.CAN.MB.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.38922817434576,0.61275097987025,1.03029113152423,1.15752940059997,1.32086755315264,1.45128533447694,1.57046269207327,1.67252746504728,1.73583622228292,1.74843549542387,1.77004274770533,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,2,2,2,2,2,2,2,2,2,2,2,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.CAN.MB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.03923107610465,1.03958755375453,1.01409961902993,0.9727983852407,0.97095532745211,0.97393699073994,0.98479390068363,0.99139740417335,0.99438144886737,0.99576540484965,0.99715339307978,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.CAN.MB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.01704244338615,1.00547107715696,0.97745956533836,0.96828504082557,0.93036634604796,0.94668369950515,0.96303791371866,0.97339668801451,0.97899936669854,0.98302976353072,0.98497670175202,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,8.15869115664895,10,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,32.4452527204579,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Retirement intercept,,,,,,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,
CIMS.CAN.MB.Residential,Sector,MB,Residential,,,Service requested,,,CIMS.CAN.MB.Residential.Buildings,,building,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential.Buildings,Service,MB,Residential,Buildings,,Service provided,,,,,building,,,,,,,,,,,,
CIMS.CAN.MB.Residential.Buildings,Service,MB,Residential,Buildings,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Residential.Buildings,Service,MB,Residential,Buildings,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Floorspace,JCIMS,m2,135.9221598,142.626146011388,145.391336732268,140.654795496646,140.752827702406,140.811382533948,140.84253119827,140.854244294604,140.85196567853,140.85196567853,140.85196567853,
CIMS.CAN.MB.Residential.Buildings,Service,MB,Residential,Buildings,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Refrigerators,JCIMS,unit,1.251728,1.273339,1.307176132,1.330824561,1.354256124,1.377450828,1.400389546,1.423054075,1.445427183,1.445427183,1.445427183,
CIMS.CAN.MB.Residential.Buildings,Service,MB,Residential,Buildings,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Freezers,JCIMS,unit,0.571757,0.534712,0.520323588,0.504664734,0.489153124,0.473807609,0.458646185,0.443685924,0.428942905,0.428942905,0.428942905,
CIMS.CAN.MB.Residential.Buildings,Service,MB,Residential,Buildings,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Ranges,JCIMS,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential.Buildings,Service,MB,Residential,Buildings,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Dishwashing,JCIMS,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential.Buildings,Service,MB,Residential,Buildings,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Clothes Washing,JCIMS,unit,0.751267,0.751267,0.751267,0.751267,0.751267,0.751267,0.751267,0.751267,0.751267,0.751267,0.751267,
CIMS.CAN.MB.Residential.Buildings,Service,MB,Residential,Buildings,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Minor Appliances,JCIMS,unit,1,1.192123591,1.361853177,1.57527599,1.814567321,2.080506777,2.373180546,2.691823712,3.03469597,3.03469597,3.03469597,
CIMS.CAN.MB.Residential.Buildings,Service,MB,Residential,Buildings,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Non-appliance Hot Water,JCIMS,unit,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,
CIMS.CAN.MB.Residential.Buildings.Floorspace,Service,MB,Residential,Floorspace,,Service provided,,,,,m2,,,,,,,,,,,,
CIMS.CAN.MB.Residential.Buildings.Floorspace,Service,MB,Residential,Floorspace,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Residential.Buildings.Floorspace,Service,MB,Residential,Floorspace,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,,m2,1.14468901,1.14468901,1.14468901,1.14468901,1.14468901,1.14468901,1.14468901,1.14468901,1.14468901,1.14468901,1.14468901,
CIMS.CAN.MB.Residential.Buildings.Floorspace,Service,MB,Residential,Floorspace,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Floorspace.Solar Electricity,,m2 of roofspace,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.MB.Residential.Buildings.Floorspace,Service,MB,Residential,Floorspace,,Service requested,,,CIMS.CAN.MB.Residential.Buildings.Floorspace.Space Conditioning,,m2,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,,Service provided,,,,,m2,,,,,,,,,,,,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,,Discount rate_financial,,,,,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,Incandescent,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,Incandescent,Available,,,,,Year,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,Incandescent,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,Incandescent,Lifetime,,,,,Years,5,5,5,5,5,5,5,5,5,5,5,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,Incandescent,Market share,,,,,%,0.92,,,,,,,,,,,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,Incandescent,Output,,,,,m2,4.150995839,4.150995839,4.150995839,4.150995839,4.150995839,4.150995839,4.150995839,4.150995839,4.150995839,4.150995839,4.150995839,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,Incandescent,FCC,,,,,$,3.8411214953271,3.8411214953271,3.8411214953271,3.8411214953271,3.8411214953271,3.8411214953271,3.8411214953271,3.8411214953271,3.8411214953271,3.8411214953271,3.8411214953271,
CIMS.CAN.MB.Residential.Buildings.Floorspace.Lighting,Service,MB,Residential,Lighting,Incandescent,Service requested,,,CIMS.CAN.MB.Electricity,,GJ,0.041834412,0.041834412,0.041834412,0.041834412,0.041834412,0.041834412,0.041834412,0.041834412,0.041834412,0.041834412,0.041834412,
