,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Residential,,,Service requested,,,CIMS.CAN.ON.Residential,Census,household,4467553,4845367,5153651,5443987,5835796,6255803.87198132,6706040.11598358,7188680.2971235,7706056.55803957,8260668.88792737,8855197.20261841,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Service provided,,,CIMS.CAN.ON.Residential,,household,,,,,,,,,,,,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,0.83402835696414,0.83402835696414,2.79507133592737,4.53103448275862,3.41454202077432,4.00442967884828,3.54509803921569,3.34814814814815,3.18871252204586,3.18871252204586,3.18871252204586,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,0.33888366,0.669977105,1.137202716,1.402319096,1.614736849,1.76093578,1.896264659,2.014263704,2.084550458,2.099680814,2.125628774,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,CER,,2,2,2,2,2,2,2,2,2,2,2,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,CER,,1.136950638,1.136950638,1.164030715,1.11721623,1.136695992,1.10778843,1.12334405,1.11976149,1.114459445,1.104554057,1.091720318,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1.14,1.14,2.95,2.95,2.95,2.87,2.6,2.43,2.29,2.36,2.42,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,CER,,1.14,1.14,2.95,2.95,2.95,2.87,2.6,2.43,2.29,2.36,2.42,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,11.9325471282525,14.7038262395284,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,48.4852639576638,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Price multiplier,,,,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Retirement intercept,,,,,,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,-2.619,
CIMS.CAN.ON.Residential,Sector,ON,Residential,,,Service requested,,,CIMS.CAN.ON.Residential.Dwellings,,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,Service provided,,,,,building,,,,,,,,,,,,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,Service requested,,,CIMS.CAN.ON.Residential.Dwellings.Building Type,JCIMS,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,Service requested,,,CIMS.CAN.ON.Residential.Dwellings.Refrigerators,JCIMS,unit,1.251728,1.273339,1.307176132,1.330824561,1.354256124,1.377450828,1.400389546,1.423054075,1.445427183,1.445427183,1.445427183,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,Service requested,,,CIMS.CAN.ON.Residential.Dwellings.Freezers,JCIMS,unit,0.571757,0.534712,0.520323588,0.504664734,0.489153124,0.473807609,0.458646185,0.443685924,0.428942905,0.428942905,0.428942905,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,Service requested,,,CIMS.CAN.ON.Residential.Dwellings.Ranges,JCIMS,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,Service requested,,,CIMS.CAN.ON.Residential.Dwellings.Dishwashing,JCIMS,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,Service requested,,,CIMS.CAN.ON.Residential.Dwellings.Clothes Washing,JCIMS,unit,0.751267,0.77115,0.794140498,0.815884167,0.837242167,0.858172723,0.878637808,0.89860334,0.918039312,0.918039312,0.918039312,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,Service requested,,,CIMS.CAN.ON.Residential.Dwellings.Minor Appliances,JCIMS,unit,1,1.192123591,1.361853177,1.57527599,1.814567321,2.080506777,2.373180546,2.691823712,3.03469597,3.03469597,3.03469597,
CIMS.CAN.ON.Residential.Dwellings,Service,ON,Residential,Dwellings,,Service requested,,,CIMS.CAN.ON.Residential.Dwellings.Non-appliance Hot Water,JCIMS,unit,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,
CIMS.CAN.ON.Residential.Dwellings.Building Type,Service,ON,Residential,Building Type,,Service provided,,,,,unit,,,,,,,,,,,,
CIMS.CAN.ON.Residential.Dwellings.Building Type,Service,ON,Residential,Building Type,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Residential.Dwellings.Building Type,Service,ON,Residential,Building Type,,Discount rate_financial,,,,,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
