,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB,Region,AB,Transportation Freight,,,Service requested,,,CIMS.CAN.AB.Transportation Freight,,k*tkm,133184739.786526,205077391.6027,187354028.218271,238964656.458142,207483882.698183,218065643.752372,229187180.96808,240876028.354351,253161124.431407,266072883.874837,279643272.814355,
CIMS.CAN.AB.Transportation Freight,Sector,AB,,,,Service provided,,,,,tkm,,,,,,,,,,,,
CIMS.CAN.AB.Transportation Freight,Sector,AB,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.CAN.AB.Biodiesel,JCIMS,,2.28589498029498,1.43760113963645,1.21603224707252,1.2151310423764,1.0818215223735,1.04777625173502,1.04777625173502,1.04777625173502,1.04777625173502,1.04777625173502,1.04777625173502,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,0.91780477292288,0.91780477292288,0.89939698872173,0.89902658428375,0.93664614437399,0.9431962754817,0.95409399371002,0.95446415163663,0.95473133309345,0.95415484034643,0.95307540444817,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.CAN.AB.Electricity,Commercial,,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.CAN.AB.Ethanol,JCIMS,,1.27859974520867,1.23891997684786,1.37297164150595,1.28592388718037,1.16017013736052,1.11773005016576,1.11773005016576,1.11773005016576,1.11773005016576,1.11773005016576,1.11773005016576,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,0.31669634528007,0.39209782987385,0.55561371601799,0.5957740057969,0.65426588139305,0.70274966458572,0.73714836145323,0.78214438279378,0.81462668195303,0.8196261958856,0.82950842623423,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,CER,,0.92208466955348,0.92208466955348,0.90219483591399,0.88648070268029,0.93631070434432,0.93815688439815,0.94463342216134,0.94702210412252,0.94905599605361,0.95023355297821,0.95084726084626,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.CAN.AB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,0.91531711274682,0.98252734863588,1.0638828666402,1.08614554798963,1.09405969984315,1.10060375558273,1.10539762305172,1.11056434563501,1.10897295661236,1.10897295661236,1.10897295661236,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,JCIMS,,0.99996986622794,1.55773272994613,3.9983959237592,8.95408543966218,16.7592942064541,10.5778822046042,10.5778822046042,10.5778822046042,10.5778822046042,10.5778822046042,10.5778822046042,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Freight,Sector,AB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
