,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB,Region,MB,Transportation Freight,,,Service requested,,,CIMS.CAN.MB.Transportation Freight,,k*tkm,23313606.5,27471398.93,43728609.49,54208896.25,68033258,71961724.98,76129915.49,80553438.3,85248995.09,90234462.83,95528982.83,
CIMS.CAN.MB.Transportation Freight,Sector,MB,,,,Service provided,,,,,tkm,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Freight,Sector,MB,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.CAN.MB.Biodiesel,JCIMS,,2.28589498,1.43760114,1.216032247,1.215131042,1.081821522,1.047776252,1.047776252,1.047776252,1.047776252,1.047776252,1.047776252,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,1.013075083,1.013075083,1.003992054,0.980428588,1.052735691,1.049464726,1.054653288,1.055870073,1.056068195,1.055601308,1.055420549,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.CAN.MB.Electricity,Commercial,,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.CAN.MB.Ethanol,JCIMS,,1.278599745,1.238919977,1.372971642,1.285923887,1.160170137,1.11773005,1.11773005,1.11773005,1.11773005,1.11773005,1.11773005,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,0.351701521,0.410250595,0.554503405,0.578947846,0.631001592,0.676009722,0.707602645,0.749276644,0.781020351,0.785813616,0.795288169,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,CER,,1.018198002,1.018198002,0.997967994,0.958640698,0.999157592,0.990948765,0.994439765,0.999375781,1.001303718,1.002531441,1.003840127,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.CAN.MB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1.016128302,1.027649934,1.061379864,1.0550953,1.054782639,1.05834937,1.060715316,1.063517796,1.062846253,1.062846253,1.062846253,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,JCIMS,,0.999969866,1.55773273,3.998395924,8.95408544,16.75929421,10.5778822,10.5778822,10.5778822,10.5778822,10.5778822,10.5778822,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Service requested,,,CIMS.CAN.MB.Transportation Freight.Freight,,tkm,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,Service requested,,,CIMS.CAN.MB.Transportation Freight.Off Road,,tkm,0.2473,0.2473,0.2473,0.2473,0.2473,0.2473,0.2473,0.2473,0.2473,0.2473,0.2473,
CIMS.CAN.MB.Transportation Freight.Freight,Service,MB,Transportation Freight,Freight,,Service provided,,,,,tkm,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Freight.Freight,Service,MB,Transportation Freight,Freight,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
